Country or Area,Item,Year,Value
South Africa,Interest payments (% of expense),1985,13.0710623135085
South Africa,Interest payments (% of expense),1986,13.110995556396
South Africa,Interest payments (% of expense),1987,13.4013605442177
South Africa,Interest payments (% of expense),1988,13.588236262741
South Africa,Interest payments (% of expense),1989,15.0718581472174
South Africa,Interest payments (% of expense),1990,14.2572632137986
South Africa,Interest payments (% of expense),1991,15.4877380683832
South Africa,Interest payments (% of expense),1992,15.1193293969871
South Africa,Interest payments (% of expense),1993,15.5654759782353
South Africa,Interest payments (% of expense),1994,16.7773118203142
South Africa,Interest payments (% of expense),1995,18.25123364877
South Africa,Interest payments (% of expense),1996,17.5870770739888
South Africa,Interest payments (% of expense),1997,19.4221375447389
South Africa,Interest payments (% of expense),1998,19.7476605947967
South Africa,Interest payments (% of expense),1999,18.9121238163913
South Africa,Interest payments (% of expense),2000,18.1060049086277
South Africa,Interest payments (% of expense),2001,16.8016772079421
South Africa,Interest payments (% of expense),2002,14.5583370058408
South Africa,Interest payments (% of expense),2003,12.5691941140716
South Africa,Interest payments (% of expense),2004,11.5613262515453
South Africa,Interest payments (% of expense),2005,10.8593590528679
South Africa,Interest payments (% of expense),2006,9.85031567425652
South Africa,Interest payments (% of expense),2007,8.67309675026429
South Africa,Interest payments (% of expense),2008,7.6976073804606
South Africa,Interest payments (% of expense),2009,7.31227235926203
South Africa,Interest payments (% of expense),2010,7.68019097019604
South Africa,Interest payments (% of expense),2011,7.90376276286169
South Africa,Interest payments (% of expense),2012,8.7038710886434
South Africa,Interest payments (% of expense),2013,8.73775533731754
South Africa,Interest payments (% of expense),2014,9.17941334110941
South Africa,Interest payments (% of expense),2015,9.09896509990054
South Africa,Interest payments (% of expense),2016,10.2150196800716
South Africa,Interest payments (% of expense),2017,10.5634519284442
South Africa,Interest payments (% of expense),2018,10.5625640407853
South Africa,Interest payments (% of expense),2019,11.041411159621
South Africa,Interest payments (% of expense),2020,11.4254238929618
South Africa,Interest payments (% of expense),2021,12.9694333411912
