Country or Area,Item,Year,Value
South Africa,Labor tax and contributions (% of commercial profits),2005,4.5
South Africa,Labor tax and contributions (% of commercial profits),2006,4.5
South Africa,Labor tax and contributions (% of commercial profits),2007,4.3
South Africa,Labor tax and contributions (% of commercial profits),2008,2.3
South Africa,Labor tax and contributions (% of commercial profits),2009,2.4
South Africa,Labor tax and contributions (% of commercial profits),2010,2.5
South Africa,Labor tax and contributions (% of commercial profits),2011,4.1
South Africa,Labor tax and contributions (% of commercial profits),2012,4.1
South Africa,Labor tax and contributions (% of commercial profits),2013,4.0
South Africa,Labor tax and contributions (% of commercial profits),2014,4.0
South Africa,Labor tax and contributions (% of commercial profits),2015,4.0
South Africa,Labor tax and contributions (% of commercial profits),2016,4.0
South Africa,Labor tax and contributions (% of commercial profits),2017,4.0
South Africa,Labor tax and contributions (% of commercial profits),2018,4.0
South Africa,Labor tax and contributions (% of commercial profits),2019,4.0
