Country or Area,Item,Year,Value
South Africa,Military expenditure (current LCU),1985,4719000000.0
South Africa,Military expenditure (current LCU),1986,5707750000.0
South Africa,Military expenditure (current LCU),1987,7321500000.0
South Africa,Military expenditure (current LCU),1988,9692000000.0
South Africa,Military expenditure (current LCU),1989,10952750000.0
South Africa,Military expenditure (current LCU),1990,11287250000.0
South Africa,Military expenditure (current LCU),1991,10698500000.0
South Africa,Military expenditure (current LCU),1992,10488000000.0
South Africa,Military expenditure (current LCU),1993,10634250000.0
South Africa,Military expenditure (current LCU),1994,12351750000.0
South Africa,Military expenditure (current LCU),1995,11942000000.0
South Africa,Military expenditure (current LCU),1996,11143000000.0
South Africa,Military expenditure (current LCU),1997,11124250000.0
South Africa,Military expenditure (current LCU),1998,10535000000.0
South Africa,Military expenditure (current LCU),1999,10618500000.0
South Africa,Military expenditure (current LCU),2000,13128250000.0
South Africa,Military expenditure (current LCU),2001,15516000000.0
South Africa,Military expenditure (current LCU),2002,18615750000.0
South Africa,Military expenditure (current LCU),2003,19473000000.0
South Africa,Military expenditure (current LCU),2004,20019000000.0
South Africa,Military expenditure (current LCU),2005,22683500000.0
South Africa,Military expenditure (current LCU),2006,23742000000.0
South Africa,Military expenditure (current LCU),2007,24847250000.0
South Africa,Military expenditure (current LCU),2008,27148250000.0
South Africa,Military expenditure (current LCU),2009,30443250000.0
South Africa,Military expenditure (current LCU),2010,30662500000.0
South Africa,Military expenditure (current LCU),2011,33358750000.0
South Africa,Military expenditure (current LCU),2012,36859400000.0
South Africa,Military expenditure (current LCU),2013,39761550000.0
South Africa,Military expenditure (current LCU),2014,42243800000.0
South Africa,Military expenditure (current LCU),2015,44514225000.0
South Africa,Military expenditure (current LCU),2016,46217500000.0
South Africa,Military expenditure (current LCU),2017,47916200000.0
South Africa,Military expenditure (current LCU),2018,47987525000.0
South Africa,Military expenditure (current LCU),2019,49638525000.0
South Africa,Military expenditure (current LCU),2020,53208400000.0
South Africa,Military expenditure (current LCU),2021,50147625000.0
South Africa,Military expenditure (current LCU),2022,49016675000.0
