Country or Area,Item,Year,Value
South Africa,Military expenditure (current USD),1985,2117406345.48856
South Africa,Military expenditure (current USD),1986,2497888430.34884
South Africa,Military expenditure (current USD),1987,3595968625.21672
South Africa,Military expenditure (current USD),1988,4263086823.22617
South Africa,Military expenditure (current USD),1989,4176167126.75584
South Africa,Military expenditure (current USD),1990,4362525702.27108
South Africa,Military expenditure (current USD),1991,3874415134.79061
South Africa,Military expenditure (current USD),1992,3677406460.70666
South Africa,Military expenditure (current USD),1993,3254313378.66538
South Africa,Military expenditure (current USD),1994,3478582291.31463
South Africa,Military expenditure (current USD),1995,3292446561.84434
South Africa,Military expenditure (current USD),1996,2591787130.61277
South Africa,Military expenditure (current USD),1997,2414137709.52873
South Africa,Military expenditure (current USD),1998,1905656008.74051
South Africa,Military expenditure (current USD),1999,1738036625.04829
South Africa,Military expenditure (current USD),2000,1891725013.43693
South Africa,Military expenditure (current USD),2001,1802262236.357
South Africa,Military expenditure (current USD),2002,1766082897.72027
South Africa,Military expenditure (current USD),2003,2574176278.13213
South Africa,Military expenditure (current USD),2004,3099065125.41623
South Africa,Military expenditure (current USD),2005,3566963815.37049
South Africa,Military expenditure (current USD),2006,3506139657.83314
South Africa,Military expenditure (current USD),2007,3526748772.59817
South Africa,Military expenditure (current USD),2008,3286227700.02494
South Africa,Military expenditure (current USD),2009,3592687702.02285
South Africa,Military expenditure (current USD),2010,4188168092.20321
South Africa,Military expenditure (current USD),2011,4594154077.94655
South Africa,Military expenditure (current USD),2012,4489590095.94432
South Africa,Military expenditure (current USD),2013,4118208483.42734
South Africa,Military expenditure (current USD),2014,3892485091.06944
South Africa,Military expenditure (current USD),2015,3488867947.83997
South Africa,Military expenditure (current USD),2016,3139312128.41824
South Africa,Military expenditure (current USD),2017,3591507613.36993
South Africa,Military expenditure (current USD),2018,3622918742.55151
South Africa,Military expenditure (current USD),2019,3435429787.52855
South Africa,Military expenditure (current USD),2020,3231017731.35778
South Africa,Military expenditure (current USD),2021,3393856591.77044
South Africa,Military expenditure (current USD),2022,2995329364.67028
