Country or Area,Item,Year,Value
South Africa,Military expenditure (% of GDP),1985,3.69833382968385
South Africa,Military expenditure (% of GDP),1986,3.82057632450885
South Africa,Military expenditure (% of GDP),1987,4.19217049247912
South Africa,Military expenditure (% of GDP),1988,4.62375902257971
South Africa,Military expenditure (% of GDP),1989,4.35192469683244
South Africa,Military expenditure (% of GDP),1990,3.89462624561791
South Africa,Military expenditure (% of GDP),1991,3.22263389360805
South Africa,Military expenditure (% of GDP),1992,2.81765061454765
South Africa,Military expenditure (% of GDP),1993,2.49552369800039
South Africa,Military expenditure (% of GDP),1994,2.56196590060566
South Africa,Military expenditure (% of GDP),1995,2.11786404667743
South Africa,Military expenditure (% of GDP),1996,1.75587879819291
South Africa,Military expenditure (% of GDP),1997,1.58213355671958
South Africa,Military expenditure (% of GDP),1998,1.38316672312245
South Africa,Military expenditure (% of GDP),1999,1.27205293062738
South Africa,Military expenditure (% of GDP),2000,1.38728913141799
South Africa,Military expenditure (% of GDP),2001,1.48316101798605
South Africa,Military expenditure (% of GDP),2002,1.52930955872386
South Africa,Military expenditure (% of GDP),2003,1.4688112381823
South Africa,Military expenditure (% of GDP),2004,1.35572857797827
South Africa,Military expenditure (% of GDP),2005,1.23481125272958
South Africa,Military expenditure (% of GDP),2006,1.15387200554978
South Africa,Military expenditure (% of GDP),2007,1.05883924142242
South Africa,Military expenditure (% of GDP),2008,1.03951331865132
South Africa,Military expenditure (% of GDP),2009,1.08950470906387
South Africa,Military expenditure (% of GDP),2010,1.00348106887351
South Africa,Military expenditure (% of GDP),2011,1.00265340405471
South Africa,Military expenditure (% of GDP),2012,1.03352274081458
South Africa,Military expenditure (% of GDP),2013,1.02779402383821
South Africa,Military expenditure (% of GDP),2014,1.02189399625968
South Africa,Military expenditure (% of GDP),2015,1.00692862196088
South Africa,Military expenditure (% of GDP),2016,0.971046764986093
South Africa,Military expenditure (% of GDP),2017,0.943568494750462
South Africa,Military expenditure (% of GDP),2018,0.897196371938879
South Africa,Military expenditure (% of GDP),2019,0.884244501867417
South Africa,Military expenditure (% of GDP),2020,0.957516706073716
South Africa,Military expenditure (% of GDP),2021,0.809812625998238
South Africa,Military expenditure (% of GDP),2022,0.739893648166575
