Country or Area,Item,Year,Value
South Africa,Military expenditure (% of general government expenditure),2000,5.50455349730396
South Africa,Military expenditure (% of general government expenditure),2001,5.88311126951748
South Africa,Military expenditure (% of general government expenditure),2002,6.15901631750989
South Africa,Military expenditure (% of general government expenditure),2003,5.776435654725
South Africa,Military expenditure (% of general government expenditure),2004,5.33514200661463
South Africa,Military expenditure (% of general government expenditure),2005,4.91166643930979
South Africa,Military expenditure (% of general government expenditure),2006,4.67786711957111
South Africa,Military expenditure (% of general government expenditure),2007,4.3344299986219
South Africa,Military expenditure (% of general government expenditure),2008,3.99681559138281
South Africa,Military expenditure (% of general government expenditure),2009,3.82854020418378
South Africa,Military expenditure (% of general government expenditure),2010,3.54825569890656
South Africa,Military expenditure (% of general government expenditure),2011,3.57308113747345
South Africa,Military expenditure (% of general government expenditure),2012,3.6113582298374
South Africa,Military expenditure (% of general government expenditure),2013,3.55514098409905
South Africa,Military expenditure (% of general government expenditure),2014,3.48518886720925
South Africa,Military expenditure (% of general government expenditure),2015,3.3381696328137
South Africa,Military expenditure (% of general government expenditure),2016,3.24671675395061
South Africa,Military expenditure (% of general government expenditure),2017,3.15997799974412
South Africa,Military expenditure (% of general government expenditure),2018,2.9674610605
South Africa,Military expenditure (% of general government expenditure),2019,2.81087127140777
South Africa,Military expenditure (% of general government expenditure),2020,2.76432259331493
South Africa,Military expenditure (% of general government expenditure),2021,2.44765360668956
South Africa,Military expenditure (% of general government expenditure),2022,2.24924824951004
