Country or Area,Item,Year,Value
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1985,-2.734948732763
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1986,-4.64031309286592
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1987,-5.00534215212414
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1988,-4.28998087889402
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1989,-0.593517881402283
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1990,-3.15245287878649
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1991,-3.20833556543633
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1992,-7.77388868608349
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1993,-8.078679346316
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1994,-4.84119550439251
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1995,-4.80429605618098
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1996,-4.66611162805924
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1997,-3.3619580064389
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1998,-2.64728818513197
South Africa,Net lending (+) / net borrowing (-) (% of GDP),1999,-1.59283272266752
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2000,-1.71684047324677
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2001,-0.801927664009847
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2002,-1.39209881025107
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2003,-2.26456368589691
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2004,-1.68236664045094
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2005,-0.161839834643574
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2006,0.781786917588248
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2007,0.924679916294093
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2008,-0.589095512830275
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2009,-4.46450848490938
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2010,-4.44267265987095
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2011,-5.46206329752573
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2012,-4.23209308673638
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2013,-4.18299310803963
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2014,-3.43956150956061
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2015,-4.56437663555894
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2016,-3.46049874466043
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2017,-4.65754447741971
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2018,-5.6955139724672
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2019,-5.75192703901726
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2020,-9.87360786119415
South Africa,Net lending (+) / net borrowing (-) (% of GDP),2021,-5.11197169212013
