Country or Area,Item,Year,Value
South Africa,Other expense (current LCU),1990,3738000000.0
South Africa,Other expense (current LCU),1991,224000000.0
South Africa,Other expense (current LCU),1992,6574000000.0
South Africa,Other expense (current LCU),1993,8195000000.0
South Africa,Other expense (current LCU),1994,6468000000.0
South Africa,Other expense (current LCU),1996,5283000000.0
South Africa,Other expense (current LCU),1997,3491000000.0
South Africa,Other expense (current LCU),1998,2343000000.0
South Africa,Other expense (current LCU),1999,4870000000.0
South Africa,Other expense (current LCU),2000,5704600000.0
South Africa,Other expense (current LCU),2001,5920000000.0
South Africa,Other expense (current LCU),2002,14038000000.0
South Africa,Other expense (current LCU),2003,22157300000.0
South Africa,Other expense (current LCU),2004,28574000000.0
South Africa,Other expense (current LCU),2005,28835000000.0
South Africa,Other expense (current LCU),2006,31087000000.0
South Africa,Other expense (current LCU),2007,38628000000.0
South Africa,Other expense (current LCU),2008,33082000000.0
South Africa,Other expense (current LCU),2009,46123850713.2482
South Africa,Other expense (current LCU),2010,59644831093.55
South Africa,Other expense (current LCU),2011,88927019060.2167
South Africa,Other expense (current LCU),2012,57973008399.8
South Africa,Other expense (current LCU),2013,54518922012.75
South Africa,Other expense (current LCU),2014,57353548727.9
South Africa,Other expense (current LCU),2015,85658239774.9808
South Africa,Other expense (current LCU),2016,85952003968.643
South Africa,Other expense (current LCU),2017,105616718284.58
South Africa,Other expense (current LCU),2018,128737550399.345
South Africa,Other expense (current LCU),2019,203974299424.274
South Africa,Other expense (current LCU),2020,222722383510.939
South Africa,Other expense (current LCU),2021,206255152398.109
