Country or Area,Item,Year,Value
South Africa,Other expense (% of expense),1990,4.51182271361151
South Africa,Other expense (% of expense),1991,0.240619595458305
South Africa,Other expense (% of expense),1992,5.61741106905126
South Africa,Other expense (% of expense),1993,5.8440956449186
South Africa,Other expense (% of expense),1994,4.59734167318217
South Africa,Other expense (% of expense),1996,2.78614993948311
South Africa,Other expense (% of expense),1997,1.73706049160155
South Africa,Other expense (% of expense),1998,1.07892847620578
South Africa,Other expense (% of expense),1999,2.07914675574124
South Africa,Other expense (% of expense),2000,2.21673192333339
South Africa,Other expense (% of expense),2001,2.08593928930075
South Africa,Other expense (% of expense),2002,4.35673186143371
South Africa,Other expense (% of expense),2003,6.0017801672252
South Africa,Other expense (% of expense),2004,6.7541726055827
South Africa,Other expense (% of expense),2005,6.13114070898823
South Africa,Other expense (% of expense),2006,5.84650915239064
South Africa,Other expense (% of expense),2007,6.31156875848626
South Africa,Other expense (% of expense),2008,4.66097277130773
South Africa,Other expense (% of expense),2009,5.67207884903326
South Africa,Other expense (% of expense),2010,6.59952660515889
South Africa,Other expense (% of expense),2011,8.60489851103518
South Africa,Other expense (% of expense),2012,5.35330210709712
South Africa,Other expense (% of expense),2013,4.50829486326882
South Africa,Other expense (% of expense),2014,4.34850172736406
South Africa,Other expense (% of expense),2015,5.75307164668315
South Africa,Other expense (% of expense),2016,5.61013482050764
South Africa,Other expense (% of expense),2017,6.25472769241338
South Africa,Other expense (% of expense),2018,7.06090906082091
South Africa,Other expense (% of expense),2019,10.4638784357631
South Africa,Other expense (% of expense),2020,10.5791866065023
South Africa,Other expense (% of expense),2021,9.72473861279971
