Country or Area,Item,Year,Value
South Africa,Other taxes (current LCU),1985,556000000.0
South Africa,Other taxes (current LCU),1986,590000000.0
South Africa,Other taxes (current LCU),1987,673000000.0
South Africa,Other taxes (current LCU),1988,631000000.0
South Africa,Other taxes (current LCU),1989,833000000.0
South Africa,Other taxes (current LCU),1990,802000000.0
South Africa,Other taxes (current LCU),1991,834000000.0
South Africa,Other taxes (current LCU),1992,1200000000.0
South Africa,Other taxes (current LCU),1993,1405000000.0
South Africa,Other taxes (current LCU),1994,1588000000.0
South Africa,Other taxes (current LCU),1995,1873000000.0
South Africa,Other taxes (current LCU),1996,1498000000.0
South Africa,Other taxes (current LCU),1997,1816100000.0
South Africa,Other taxes (current LCU),1998,1755400000.0
South Africa,Other taxes (current LCU),1999,1938400000.0
South Africa,Other taxes (current LCU),2000,3293800000.0
South Africa,Other taxes (current LCU),2001,4986000000.0
South Africa,Other taxes (current LCU),2002,5808000000.0
South Africa,Other taxes (current LCU),2003,5683700000.0
South Africa,Other taxes (current LCU),2004,6012000000.0
South Africa,Other taxes (current LCU),2005,6483000000.0
South Africa,Other taxes (current LCU),2006,7346000000.0
South Africa,Other taxes (current LCU),2007,7820000000.0
South Africa,Other taxes (current LCU),2008,8754000000.0
South Africa,Other taxes (current LCU),2009,8667918153.46
South Africa,Other taxes (current LCU),2010,9519015100.55
South Africa,Other taxes (current LCU),2011,11276820924.49
South Africa,Other taxes (current LCU),2012,12491257741.4
South Africa,Other taxes (current LCU),2013,13702417616.66
South Africa,Other taxes (current LCU),2014,15671938732.64
South Africa,Other taxes (current LCU),2015,17336778233.82
South Africa,Other taxes (current LCU),2016,17226603366.3
South Africa,Other taxes (current LCU),2017,19012658875.63
South Africa,Other taxes (current LCU),2018,20104164548.67
South Africa,Other taxes (current LCU),2019,21116421031.54
South Africa,Other taxes (current LCU),2020,15180125765.33
South Africa,Other taxes (current LCU),2021,23102068082.27
