Country or Area,Item,Year,Value
South Africa,Primary government expenditures as a proportion of original approved budget (%),2006,100.3534
South Africa,Primary government expenditures as a proportion of original approved budget (%),2007,99.364
South Africa,Primary government expenditures as a proportion of original approved budget (%),2008,101.4232
South Africa,Primary government expenditures as a proportion of original approved budget (%),2010,101.168995062033
South Africa,Primary government expenditures as a proportion of original approved budget (%),2011,98.5132337500902
South Africa,Primary government expenditures as a proportion of original approved budget (%),2012,99.9653
South Africa,Primary government expenditures as a proportion of original approved budget (%),2013,99.2394
South Africa,Primary government expenditures as a proportion of original approved budget (%),2015,99.0668430247111
South Africa,Primary government expenditures as a proportion of original approved budget (%),2016,101.822551570956
South Africa,Primary government expenditures as a proportion of original approved budget (%),2017,99.0178622629402
South Africa,Primary government expenditures as a proportion of original approved budget (%),2018,99.696634296399
South Africa,Primary government expenditures as a proportion of original approved budget (%),2019,99.6300216241238
South Africa,Primary government expenditures as a proportion of original approved budget (%),2020,101.945670452949
South Africa,Primary government expenditures as a proportion of original approved budget (%),2021,101.302504871856
