Country or Area,Item,Year,Value
South Africa,Tax revenue (% of GDP),1985,20.813175645104
South Africa,Tax revenue (% of GDP),1986,20.1171711868654
South Africa,Tax revenue (% of GDP),1987,19.9058763673366
South Africa,Tax revenue (% of GDP),1988,20.8386212498096
South Africa,Tax revenue (% of GDP),1989,23.1888353711251
South Africa,Tax revenue (% of GDP),1990,21.1874515142874
South Africa,Tax revenue (% of GDP),1991,20.9961429260192
South Africa,Tax revenue (% of GDP),1992,18.8799893109627
South Africa,Tax revenue (% of GDP),1993,19.8688359609019
South Africa,Tax revenue (% of GDP),1994,19.6043743222704
South Africa,Tax revenue (% of GDP),1995,20.2955260214681
South Africa,Tax revenue (% of GDP),1996,20.9846364817904
South Africa,Tax revenue (% of GDP),1997,21.2498395625278
South Africa,Tax revenue (% of GDP),1998,21.9639431431796
South Africa,Tax revenue (% of GDP),1999,21.7599312426722
South Africa,Tax revenue (% of GDP),2000,20.9760632464162
South Africa,Tax revenue (% of GDP),2001,21.7005914264295
South Africa,Tax revenue (% of GDP),2002,20.8248927712355
South Africa,Tax revenue (% of GDP),2003,20.4927670870354
South Africa,Tax revenue (% of GDP),2004,21.6985960707513
South Africa,Tax revenue (% of GDP),2005,22.9721111805983
South Africa,Tax revenue (% of GDP),2006,24.3780853808343
South Africa,Tax revenue (% of GDP),2007,24.8072372824336
South Africa,Tax revenue (% of GDP),2008,24.322809870073
South Africa,Tax revenue (% of GDP),2009,21.8948743006162
South Africa,Tax revenue (% of GDP),2010,22.5206038776132
South Africa,Tax revenue (% of GDP),2011,22.8746700116825
South Africa,Tax revenue (% of GDP),2012,23.3457659894736
South Africa,Tax revenue (% of GDP),2013,23.831391363238
South Africa,Tax revenue (% of GDP),2014,24.4319342176034
South Africa,Tax revenue (% of GDP),2015,25.0486927031144
South Africa,Tax revenue (% of GDP),2016,24.8283559884696
South Africa,Tax revenue (% of GDP),2017,24.7692872892345
South Africa,Tax revenue (% of GDP),2018,24.8948940727206
South Africa,Tax revenue (% of GDP),2019,24.8673453270019
South Africa,Tax revenue (% of GDP),2020,23.2431611849631
South Africa,Tax revenue (% of GDP),2021,25.8477925404923
