Country or Area,Item,Year,Value
South Africa,Taxes less subsidies on products (constant LCU),1985,195248534330.0
South Africa,Taxes less subsidies on products (constant LCU),1986,195451663990.0
South Africa,Taxes less subsidies on products (constant LCU),1987,210696999900.0
South Africa,Taxes less subsidies on products (constant LCU),1988,228055490640.0
South Africa,Taxes less subsidies on products (constant LCU),1989,232231775860.0
South Africa,Taxes less subsidies on products (constant LCU),1990,241289236530.0
South Africa,Taxes less subsidies on products (constant LCU),1991,241069432000.0
South Africa,Taxes less subsidies on products (constant LCU),1992,237643513800.0
South Africa,Taxes less subsidies on products (constant LCU),1993,236987132200.0
South Africa,Taxes less subsidies on products (constant LCU),1994,250734962000.0
South Africa,Taxes less subsidies on products (constant LCU),1995,262469952100.0
South Africa,Taxes less subsidies on products (constant LCU),1996,275186783500.0
South Africa,Taxes less subsidies on products (constant LCU),1997,283389861600.0
South Africa,Taxes less subsidies on products (constant LCU),1998,280578860700.0
South Africa,Taxes less subsidies on products (constant LCU),1999,279278385600.0
South Africa,Taxes less subsidies on products (constant LCU),2000,283579292500.0
South Africa,Taxes less subsidies on products (constant LCU),2001,287537823600.0
South Africa,Taxes less subsidies on products (constant LCU),2002,295334989500.0
South Africa,Taxes less subsidies on products (constant LCU),2003,303123958200.0
South Africa,Taxes less subsidies on products (constant LCU),2004,318040796900.0
South Africa,Taxes less subsidies on products (constant LCU),2005,333362894600.0
South Africa,Taxes less subsidies on products (constant LCU),2006,354274139400.0
South Africa,Taxes less subsidies on products (constant LCU),2007,371684862700.0
South Africa,Taxes less subsidies on products (constant LCU),2008,380724302900.0
South Africa,Taxes less subsidies on products (constant LCU),2009,371676904300.0
South Africa,Taxes less subsidies on products (constant LCU),2010,386511703400.0
South Africa,Taxes less subsidies on products (constant LCU),2011,401626061900.0
South Africa,Taxes less subsidies on products (constant LCU),2012,415878050200.0
South Africa,Taxes less subsidies on products (constant LCU),2013,425311490600.0
South Africa,Taxes less subsidies on products (constant LCU),2014,426613606800.0
South Africa,Taxes less subsidies on products (constant LCU),2015,439034852400.0
South Africa,Taxes less subsidies on products (constant LCU),2016,435525430300.0
South Africa,Taxes less subsidies on products (constant LCU),2017,440458419605.015
South Africa,Taxes less subsidies on products (constant LCU),2018,443949978617.264
South Africa,Taxes less subsidies on products (constant LCU),2019,446783118421.921
South Africa,Taxes less subsidies on products (constant LCU),2020,402436380433.276
South Africa,Taxes less subsidies on products (constant LCU),2021,431666180433.276
South Africa,Taxes less subsidies on products (constant LCU),2022,439566380433.276
