Country or Area,Item,Year,Value
South Africa,Taxes less subsidies on products (current LCU),1985,10255000000.0
South Africa,Taxes less subsidies on products (current LCU),1986,12132000000.0
South Africa,Taxes less subsidies on products (current LCU),1987,13995000000.0
South Africa,Taxes less subsidies on products (current LCU),1988,18695000000.0
South Africa,Taxes less subsidies on products (current LCU),1989,24130000000.0
South Africa,Taxes less subsidies on products (current LCU),1990,26665000000.0
South Africa,Taxes less subsidies on products (current LCU),1991,28573000000.0
South Africa,Taxes less subsidies on products (current LCU),1992,28671000000.0
South Africa,Taxes less subsidies on products (current LCU),1993,35291000000.0
South Africa,Taxes less subsidies on products (current LCU),1994,41973000000.0
South Africa,Taxes less subsidies on products (current LCU),1995,47746000000.0
South Africa,Taxes less subsidies on products (current LCU),1996,52484000000.0
South Africa,Taxes less subsidies on products (current LCU),1997,58563000000.0
South Africa,Taxes less subsidies on products (current LCU),1998,67550000000.0
South Africa,Taxes less subsidies on products (current LCU),1999,74810000000.0
South Africa,Taxes less subsidies on products (current LCU),2000,83930000000.0
South Africa,Taxes less subsidies on products (current LCU),2001,91792000000.0
South Africa,Taxes less subsidies on products (current LCU),2002,105389000000.0
South Africa,Taxes less subsidies on products (current LCU),2003,117387000000.0
South Africa,Taxes less subsidies on products (current LCU),2004,144673000000.0
South Africa,Taxes less subsidies on products (current LCU),2005,170015000000.0
South Africa,Taxes less subsidies on products (current LCU),2006,197333000000.0
South Africa,Taxes less subsidies on products (current LCU),2007,225160000000.0
South Africa,Taxes less subsidies on products (current LCU),2008,233710000000.0
South Africa,Taxes less subsidies on products (current LCU),2009,229723000000.0
South Africa,Taxes less subsidies on products (current LCU),2010,254028000000.0
South Africa,Taxes less subsidies on products (current LCU),2011,291929000000.0
South Africa,Taxes less subsidies on products (current LCU),2012,329897000000.0
South Africa,Taxes less subsidies on products (current LCU),2013,366269000000.0
South Africa,Taxes less subsidies on products (current LCU),2014,395082000000.0
South Africa,Taxes less subsidies on products (current LCU),2015,439035000000.0
South Africa,Taxes less subsidies on products (current LCU),2016,470714000000.0
South Africa,Taxes less subsidies on products (current LCU),2017,485740000000.0
South Africa,Taxes less subsidies on products (current LCU),2018,533587000000.0
South Africa,Taxes less subsidies on products (current LCU),2019,567041000000.0
South Africa,Taxes less subsidies on products (current LCU),2020,525416000000.0
South Africa,Taxes less subsidies on products (current LCU),2021,613480000000.0
South Africa,Taxes less subsidies on products (current LCU),2022,675842000000.0
