Country or Area,Item,Year,Value
South Africa,Taxes less subsidies on products (current US$),1985,4601388717.51153
South Africa,Taxes less subsidies on products (current US$),1986,5309334836.44868
South Africa,Taxes less subsidies on products (current US$),1987,6873660692.14006
South Africa,Taxes less subsidies on products (current US$),1988,8223119920.75543
South Africa,Taxes less subsidies on products (current US$),1989,9200522977.09554
South Africa,Taxes less subsidies on products (current US$),1990,10306026967.6627
South Africa,Taxes less subsidies on products (current US$),1991,10347606122.4453
South Africa,Taxes less subsidies on products (current US$),1992,10052895953.5262
South Africa,Taxes less subsidies on products (current US$),1993,10799812225.0777
South Africa,Taxes less subsidies on products (current US$),1994,11820723116.3248
South Africa,Taxes less subsidies on products (current US$),1995,13163738925.3354
South Africa,Taxes less subsidies on products (current US$),1996,12207429543.403
South Africa,Taxes less subsidies on products (current US$),1997,12709089180.857
South Africa,Taxes less subsidies on products (current US$),1998,12218981513.9743
South Africa,Taxes less subsidies on products (current US$),1999,12244896623.0209
South Africa,Taxes less subsidies on products (current US$),2000,12093959677.3868
South Africa,Taxes less subsidies on products (current US$),2001,10662105954.0971
South Africa,Taxes less subsidies on products (current US$),2002,9998247752.27031
South Africa,Taxes less subsidies on products (current US$),2003,15517633169.3226
South Africa,Taxes less subsidies on products (current US$),2004,22396265581.0423
South Africa,Taxes less subsidies on products (current US$),2005,26734743042.0321
South Africa,Taxes less subsidies on products (current US$),2006,29141485943.615
South Africa,Taxes less subsidies on products (current US$),2007,31958599731.8805
South Africa,Taxes less subsidies on products (current US$),2008,28290000160.9931
South Africa,Taxes less subsidies on products (current US$),2009,27110200368.8129
South Africa,Taxes less subsidies on products (current US$),2010,34697486293.9548
South Africa,Taxes less subsidies on products (current US$),2011,40204337285.1506
South Africa,Taxes less subsidies on products (current US$),2012,40182828049.0627
South Africa,Taxes less subsidies on products (current US$),2013,37954550164.7634
South Africa,Taxes less subsidies on products (current US$),2014,36431891114.3078
South Africa,Taxes less subsidies on products (current US$),2015,34432227250.2686
South Africa,Taxes less subsidies on products (current US$),2016,32002202762.9718
South Africa,Taxes less subsidies on products (current US$),2017,36486415431.649
South Africa,Taxes less subsidies on products (current US$),2018,40319630017.5776
South Africa,Taxes less subsidies on products (current US$),2019,39245863926.9174
South Africa,Taxes less subsidies on products (current US$),2020,31922513405.1943
South Africa,Taxes less subsidies on products (current US$),2021,41511155463.2965
South Africa,Taxes less subsidies on products (current US$),2022,41321109941.4992
