Country or Area,Item,Year,Value
South Africa,Taxes on exports (current LCU),1985,57000000.0
South Africa,Taxes on exports (current LCU),1986,48000000.0
South Africa,Taxes on exports (current LCU),1987,19000000.0
South Africa,Taxes on exports (current LCU),2004,1000000.0
South Africa,Taxes on exports (current LCU),2005,1000000.0
South Africa,Taxes on exports (current LCU),2009,35765830.36
South Africa,Taxes on exports (current LCU),2010,70389705.61
South Africa,Taxes on exports (current LCU),2011,64228554.23
South Africa,Taxes on exports (current LCU),2012,55374637.8
South Africa,Taxes on exports (current LCU),2013,93405752.68
South Africa,Taxes on exports (current LCU),2014,117076827.92
South Africa,Taxes on exports (current LCU),2015,126834005.93
South Africa,Taxes on exports (current LCU),2016,117499824.68
South Africa,Taxes on exports (current LCU),2017,86855949.54
South Africa,Taxes on exports (current LCU),2018,77997123.76
South Africa,Taxes on exports (current LCU),2019,94681045.88
South Africa,Taxes on exports (current LCU),2020,51008553.27
South Africa,Taxes on exports (current LCU),2021,577263668.39
