Country or Area,Item,Year,Value
South Africa,Taxes on exports (% of tax revenue),1985,0.190635451505017
South Africa,Taxes on exports (% of tax revenue),1986,0.142348754448399
South Africa,Taxes on exports (% of tax revenue),1987,0.0485623003194888
South Africa,Taxes on exports (% of tax revenue),2004,0.0002788972403118
South Africa,Taxes on exports (% of tax revenue),2005,0.0002369679477153
South Africa,Taxes on exports (% of tax revenue),2009,0.0058460692040195
South Africa,Taxes on exports (% of tax revenue),2010,0.0102289425507746
South Africa,Taxes on exports (% of tax revenue),2011,0.0084394543946314
South Africa,Taxes on exports (% of tax revenue),2012,0.006650810010369
South Africa,Taxes on exports (% of tax revenue),2013,0.0101313427234034
South Africa,Taxes on exports (% of tax revenue),2014,0.0115919357174622
South Africa,Taxes on exports (% of tax revenue),2015,0.011453824155063
South Africa,Taxes on exports (% of tax revenue),2016,0.0099431260884005
South Africa,Taxes on exports (% of tax revenue),2017,0.0069052136862195
South Africa,Taxes on exports (% of tax revenue),2018,0.0058417785189669
South Africa,Taxes on exports (% of tax revenue),2019,0.0067685423029082
South Africa,Taxes on exports (% of tax revenue),2020,0.0039414011960794
South Africa,Taxes on exports (% of tax revenue),2021,0.0359703019403651
