Country or Area,Item,Year,Value
South Africa,Taxes on goods and services (current LCU),1985,10872000000.0
South Africa,Taxes on goods and services (current LCU),1986,12020000000.0
South Africa,Taxes on goods and services (current LCU),1987,14618000000.0
South Africa,Taxes on goods and services (current LCU),1988,18715000000.0
South Africa,Taxes on goods and services (current LCU),1989,24575000000.0
South Africa,Taxes on goods and services (current LCU),1990,26796000000.0
South Africa,Taxes on goods and services (current LCU),1991,29293000000.0
South Africa,Taxes on goods and services (current LCU),1992,29579000000.0
South Africa,Taxes on goods and services (current LCU),1993,39530000000.0
South Africa,Taxes on goods and services (current LCU),1994,45017000000.0
South Africa,Taxes on goods and services (current LCU),1995,50576000000.0
South Africa,Taxes on goods and services (current LCU),1996,56721000000.0
South Africa,Taxes on goods and services (current LCU),1997,64087300000.0
South Africa,Taxes on goods and services (current LCU),1998,70319200000.0
South Africa,Taxes on goods and services (current LCU),1999,77485300000.0
South Africa,Taxes on goods and services (current LCU),2000,84249400000.0
South Africa,Taxes on goods and services (current LCU),2001,93027000000.0
South Africa,Taxes on goods and services (current LCU),2002,104511000000.0
South Africa,Taxes on goods and services (current LCU),2003,119780200000.0
South Africa,Taxes on goods and services (current LCU),2004,144337000000.0
South Africa,Taxes on goods and services (current LCU),2005,166582000000.0
South Africa,Taxes on goods and services (current LCU),2006,190829000000.0
South Africa,Taxes on goods and services (current LCU),2007,215851000000.0
South Africa,Taxes on goods and services (current LCU),2008,220765000000.0
South Africa,Taxes on goods and services (current LCU),2009,225371324749.245
South Africa,Taxes on goods and services (current LCU),2010,272096532404.898
South Africa,Taxes on goods and services (current LCU),2011,289545099223.347
South Africa,Taxes on goods and services (current LCU),2012,324163349903.57
South Africa,Taxes on goods and services (current LCU),2013,356702702944.508
South Africa,Taxes on goods and services (current LCU),2014,392191320937.717
South Africa,Taxes on goods and services (current LCU),2015,437366296825.068
South Africa,Taxes on goods and services (current LCU),2016,454725827241.512
South Africa,Taxes on goods and services (current LCU),2017,477176365203.928
South Africa,Taxes on goods and services (current LCU),2018,520592909479.445
South Africa,Taxes on goods and services (current LCU),2019,549819118492.14
South Africa,Taxes on goods and services (current LCU),2020,514510855617.741
South Africa,Taxes on goods and services (current LCU),2021,609954139057.466
