Country or Area,Item,Year,Value
South Africa,Taxes on goods and services (% of revenue),1985,32.8151881923274
South Africa,Taxes on goods and services (% of revenue),1986,31.8258843465367
South Africa,Taxes on goods and services (% of revenue),1987,33.9290687958407
South Africa,Taxes on goods and services (% of revenue),1988,34.6985315929991
South Africa,Taxes on goods and services (% of revenue),1989,33.9068406964872
South Africa,Taxes on goods and services (% of revenue),1990,34.8819953396946
South Africa,Taxes on goods and services (% of revenue),1991,34.0758922339584
South Africa,Taxes on goods and services (% of revenue),1992,33.3018092568199
South Africa,Taxes on goods and services (% of revenue),1993,37.2783855149
South Africa,Taxes on goods and services (% of revenue),1994,38.4268032437047
South Africa,Taxes on goods and services (% of revenue),1995,36.7707788053277
South Africa,Taxes on goods and services (% of revenue),1996,35.0949495310483
South Africa,Taxes on goods and services (% of revenue),1997,35.5707573743468
South Africa,Taxes on goods and services (% of revenue),1998,35.0729697646812
South Africa,Taxes on goods and services (% of revenue),1999,34.6036858353865
South Africa,Taxes on goods and services (% of revenue),2000,34.5333961838788
South Africa,Taxes on goods and services (% of revenue),2001,33.1036912357615
South Africa,Taxes on goods and services (% of revenue),2002,33.7110508999419
South Africa,Taxes on goods and services (% of revenue),2003,35.2897225999096
South Africa,Taxes on goods and services (% of revenue),2004,36.1898338402289
South Africa,Taxes on goods and services (% of revenue),2005,35.1911002949105
South Africa,Taxes on goods and services (% of revenue),2006,34.4261555724734
South Africa,Taxes on goods and services (% of revenue),2007,33.6809862858088
South Africa,Taxes on goods and services (% of revenue),2008,31.3488237357307
South Africa,Taxes on goods and services (% of revenue),2009,32.0836647555576
South Africa,Taxes on goods and services (% of revenue),2010,34.7504320305777
South Africa,Taxes on goods and services (% of revenue),2011,33.4021197557206
South Africa,Taxes on goods and services (% of revenue),2012,34.1686224179731
South Africa,Taxes on goods and services (% of revenue),2013,33.5549809406584
South Africa,Taxes on goods and services (% of revenue),2014,32.7735923596333
South Africa,Taxes on goods and services (% of revenue),2015,33.2928906166311
South Africa,Taxes on goods and services (% of revenue),2016,32.8174862074232
South Africa,Taxes on goods and services (% of revenue),2017,32.4360160687744
South Africa,Taxes on goods and services (% of revenue),2018,34.1673701372738
South Africa,Taxes on goods and services (% of revenue),2019,33.7848191924426
South Africa,Taxes on goods and services (% of revenue),2020,33.128546039919
South Africa,Taxes on goods and services (% of revenue),2021,33.5610067276585
