Country or Area,Item,Year,Value
South Africa,Taxes on goods and services (% value added of industry and services),1985,8.54394568087514
South Africa,Taxes on goods and services (% value added of industry and services),1986,8.08991788935254
South Africa,Taxes on goods and services (% value added of industry and services),1987,8.42715737650104
South Africa,Taxes on goods and services (% value added of industry and services),1988,9.0663785836781
South Africa,Taxes on goods and services (% value added of industry and services),1989,9.95757646973018
South Africa,Taxes on goods and services (% value added of industry and services),1990,9.33190315660435
South Africa,Taxes on goods and services (% value added of industry and services),1991,8.8554672148493
South Africa,Taxes on goods and services (% value added of industry and services),1992,7.84066841439784
South Africa,Taxes on goods and services (% value added of industry and services),1993,9.20927731973789
South Africa,Taxes on goods and services (% value added of industry and services),1994,9.32706865850247
South Africa,Taxes on goods and services (% value added of industry and services),1995,9.10114252028315
South Africa,Taxes on goods and services (% value added of industry and services),1996,9.0703943132217
South Africa,Taxes on goods and services (% value added of industry and services),1997,9.22581707587357
South Africa,Taxes on goods and services (% value added of industry and services),1998,9.34446715767584
South Africa,Taxes on goods and services (% value added of industry and services),1999,9.39749329817149
South Africa,Taxes on goods and services (% value added of industry and services),2000,8.94679655177309
South Africa,Taxes on goods and services (% value added of industry and services),2001,8.93324718174935
South Africa,Taxes on goods and services (% value added of industry and services),2002,8.60133639853542
South Africa,Taxes on goods and services (% value added of industry and services),2003,8.98268074003871
South Africa,Taxes on goods and services (% value added of industry and services),2004,9.83282971828566
South Africa,Taxes on goods and services (% value added of industry and services),2005,10.2280202446431
South Africa,Taxes on goods and services (% value added of industry and services),2006,10.4962974350538
South Africa,Taxes on goods and services (% value added of industry and services),2007,10.4467378455936
South Africa,Taxes on goods and services (% value added of industry and services),2008,9.55387861625087
South Africa,Taxes on goods and services (% value added of industry and services),2009,9.02402859553461
South Africa,Taxes on goods and services (% value added of industry and services),2010,9.94076367578386
South Africa,Taxes on goods and services (% value added of industry and services),2011,9.75846673832455
South Africa,Taxes on goods and services (% value added of industry and services),2012,10.2389221580105
South Africa,Taxes on goods and services (% value added of industry and services),2013,10.4061139516894
South Africa,Taxes on goods and services (% value added of industry and services),2014,10.7422739534178
South Africa,Taxes on goods and services (% value added of industry and services),2015,11.2636241271475
South Africa,Taxes on goods and services (% value added of industry and services),2016,10.8944129162149
South Africa,Taxes on goods and services (% value added of industry and services),2017,10.6851020358427
South Africa,Taxes on goods and services (% value added of industry and services),2018,11.056783617275
South Africa,Taxes on goods and services (% value added of industry and services),2019,11.1109227465752
South Africa,Taxes on goods and services (% value added of industry and services),2020,10.5028598279438
South Africa,Taxes on goods and services (% value added of industry and services),2021,11.2195516197388
