Country or Area,Item,Year,Value
South Africa,"Taxes on income, profits and capital gains (current LCU)",1985,17513000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1986,19692000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1987,22199000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1988,26734000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1989,33926000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1990,38725000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1991,45065000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1992,46283000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1993,50912000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1994,58268000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1995,68317000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1996,82852000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1997,95003800000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1998,108380600000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",1999,116148900000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2000,126145200000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2001,147311000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2002,164566000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2003,171962800000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2004,195219000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2005,230804000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2006,279990000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2007,332058000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2008,383483000000.0
South Africa,"Taxes on income, profits and capital gains (current LCU)",2009,359044846795.87
South Africa,"Taxes on income, profits and capital gains (current LCU)",2010,379941232665.1
South Africa,"Taxes on income, profits and capital gains (current LCU)",2011,426583730530.48
South Africa,"Taxes on income, profits and capital gains (current LCU)",2012,457317482568.97
South Africa,"Taxes on income, profits and capital gains (current LCU)",2013,507759154457.05
South Africa,"Taxes on income, profits and capital gains (current LCU)",2014,561789779510.37
South Africa,"Taxes on income, profits and capital gains (current LCU)",2015,606820534542.24
South Africa,"Taxes on income, profits and capital gains (current LCU)",2016,664526445797.87
South Africa,"Taxes on income, profits and capital gains (current LCU)",2017,711703019241.6
South Africa,"Taxes on income, profits and capital gains (current LCU)",2018,738740596844.77
South Africa,"Taxes on income, profits and capital gains (current LCU)",2019,772680576009.85
South Africa,"Taxes on income, profits and capital gains (current LCU)",2020,718180499012.29
South Africa,"Taxes on income, profits and capital gains (current LCU)",2021,912870032130.08
