Country or Area,Item,Year,Value
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1985,52.8598593462316
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1986,52.1393772505825
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1987,51.524928047535
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1988,49.5661524770098
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1989,46.8086867739176
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1990,50.4107056847915
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1991,52.4231073472616
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1992,52.1081726168361
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1993,48.0120709166352
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1994,49.7379428083653
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1995,49.6691967661258
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1996,51.262967129395
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1997,52.7305272564294
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1998,54.0567797540076
South Africa,"Taxes on income, profits and capital gains (% of revenue)",1999,51.870226297449
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2000,51.7062693419138
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2001,52.4206720589858
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2002,53.0823817818205
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2003,50.6637950972175
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2004,48.9475544902252
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2005,48.7582494655276
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2006,50.5110821664255
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2007,51.8137091979796
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2008,54.4549225314212
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2009,51.1133104871534
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2010,48.5236686577664
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2011,49.2109895530645
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2012,48.2038095660272
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2013,47.7648434105129
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2014,46.9461414430563
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2015,46.1919672985704
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2016,47.9587614403457
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2017,48.3779421020783
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2018,48.4847621783109
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2019,47.4790211471673
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2020,46.2425145489588
South Africa,"Taxes on income, profits and capital gains (% of revenue)",2021,50.2280996685048
