Country or Area,Item,Year,Value
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1985,58.571906354515
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1986,58.3985765124555
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1987,56.7386581469649
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1988,54.2712139667073
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1989,51.6251749954349
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1990,56.0435902631046
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1991,57.4904001939097
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1992,58.4898268671806
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1993,53.2730621128411
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1994,54.526398532687
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1995,54.0392814484935
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1996,56.2581906824833
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1997,57.4177433070209
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1998,58.3455536390671
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",1999,57.6622800223999
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2000,57.1033317655537
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2001,58.2220096752775
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2002,58.0766516092603
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2003,56.3029755356488
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2004,54.4460403564307
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2005,54.6931502045033
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2006,55.819155426015
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2007,57.0410159772838
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2008,60.36991791846
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2009,58.6873281170274
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2010,55.212577008557
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2011,56.0519224270844
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2012,54.9264394644305
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2013,55.0745737510811
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2014,55.6235689547495
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2015,54.7993075308535
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2016,56.233873179298
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2017,56.5817477676368
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2018,55.329719119076
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2019,55.2372559549741
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2020,55.4933887817747
South Africa,"Taxes on income, profits and capital gains (% of total taxes)",2021,56.8825174458157
