Country or Area,Item,Year,Value
South Africa,Taxes on international trade (current LCU),1985,959000000.0
South Africa,Taxes on international trade (current LCU),1986,1418000000.0
South Africa,Taxes on international trade (current LCU),1987,1635000000.0
South Africa,Taxes on international trade (current LCU),1988,3180000000.0
South Africa,Taxes on international trade (current LCU),1989,6382000000.0
South Africa,Taxes on international trade (current LCU),1990,2775000000.0
South Africa,Taxes on international trade (current LCU),1991,3195000000.0
South Africa,Taxes on international trade (current LCU),1992,2068000000.0
South Africa,Taxes on international trade (current LCU),1993,3721000000.0
South Africa,Taxes on international trade (current LCU),1994,1989000000.0
South Africa,Taxes on international trade (current LCU),1995,5655000000.0
South Africa,Taxes on international trade (current LCU),1996,6200000000.0
South Africa,Taxes on international trade (current LCU),1997,4553500000.0
South Africa,Taxes on international trade (current LCU),1998,5301200000.0
South Africa,Taxes on international trade (current LCU),1999,5857000000.0
South Africa,Taxes on international trade (current LCU),2000,7218500000.0
South Africa,Taxes on international trade (current LCU),2001,7692000000.0
South Africa,Taxes on international trade (current LCU),2002,8475000000.0
South Africa,Taxes on international trade (current LCU),2003,7997300000.0
South Africa,Taxes on international trade (current LCU),2004,12987000000.0
South Africa,Taxes on international trade (current LCU),2005,18129000000.0
South Africa,Taxes on international trade (current LCU),2006,23437000000.0
South Africa,Taxes on international trade (current LCU),2007,26410000000.0
South Africa,Taxes on international trade (current LCU),2008,22220000000.0
South Africa,Taxes on international trade (current LCU),2009,18708708364.9262
South Africa,Taxes on international trade (current LCU),2010,26585764971.3226
South Africa,Taxes on international trade (current LCU),2011,33645374976.3427
South Africa,Taxes on international trade (current LCU),2012,38627814364.1119
South Africa,Taxes on international trade (current LCU),2013,43784130342.037
South Africa,Taxes on international trade (current LCU),2014,40332098535.6115
South Africa,Taxes on international trade (current LCU),2015,45827125078.4764
South Africa,Taxes on international trade (current LCU),2016,45240269417.822
South Africa,Taxes on international trade (current LCU),2017,49939408199.81
South Africa,Taxes on international trade (current LCU),2018,55722905769.32
South Africa,Taxes on international trade (current LCU),2019,55223422476.273
South Africa,Taxes on international trade (current LCU),2020,46301599998.9569
South Africa,Taxes on international trade (current LCU),2021,58907852328.9687
