Country or Area,Item,Year,Value
South Africa,Taxes on international trade (% of revenue),1985,2.89457004014367
South Africa,Taxes on international trade (% of revenue),1986,3.75450116500741
South Africa,Taxes on international trade (% of revenue),1987,3.7949122644137
South Africa,Taxes on international trade (% of revenue),1988,5.89587659448235
South Africa,Taxes on international trade (% of revenue),1989,8.80543061342752
South Africa,Taxes on international trade (% of revenue),1990,3.61238756036918
South Africa,Taxes on international trade (% of revenue),1991,3.71667209529571
South Africa,Taxes on international trade (% of revenue),1992,2.32827822249243
South Africa,Taxes on international trade (% of revenue),1993,3.50905318747642
South Africa,Taxes on international trade (% of revenue),1994,1.69782330345711
South Africa,Taxes on international trade (% of revenue),1995,4.11141162100855
South Africa,Taxes on international trade (% of revenue),1996,3.83612219623243
South Africa,Taxes on international trade (% of revenue),1997,2.52735633587447
South Africa,Taxes on international trade (% of revenue),1998,2.64406914920147
South Africa,Taxes on international trade (% of revenue),1999,2.61564177899368
South Africa,Taxes on international trade (% of revenue),2000,2.95882606111532
South Africa,Taxes on international trade (% of revenue),2001,2.73720095225556
South Africa,Taxes on international trade (% of revenue),2002,2.73369460034836
South Africa,Taxes on international trade (% of revenue),2003,2.35616987238506
South Africa,Taxes on international trade (% of revenue),2004,3.25625010969503
South Africa,Taxes on international trade (% of revenue),2005,3.82982229320354
South Africa,Taxes on international trade (% of revenue),2006,4.22810897794391
South Africa,Taxes on international trade (% of revenue),2007,4.120966999496
South Africa,Taxes on international trade (% of revenue),2008,3.15525949950371
South Africa,Taxes on international trade (% of revenue),2009,2.66335536633881
South Africa,Taxes on international trade (% of revenue),2010,3.39536417627728
South Africa,Taxes on international trade (% of revenue),2011,3.88135336153294
South Africa,Taxes on international trade (% of revenue),2012,4.0715867609078
South Africa,Taxes on international trade (% of revenue),2013,4.11876794597464
South Africa,Taxes on international trade (% of revenue),2014,3.37036463033972
South Africa,Taxes on international trade (% of revenue),2015,3.48842028658331
South Africa,Taxes on international trade (% of revenue),2016,3.26498260863232
South Africa,Taxes on international trade (% of revenue),2017,3.39462631629264
South Africa,Taxes on international trade (% of revenue),2018,3.65718608893185
South Africa,Taxes on international trade (% of revenue),2019,3.39332205956281
South Africa,Taxes on international trade (% of revenue),2020,2.98128731500853
South Africa,Taxes on international trade (% of revenue),2021,3.24123848291186
