Country or Area,Item,Year,Value
South Africa,Final consumption expenditure (annual % growth),1985,-1.70769934666309
South Africa,Final consumption expenditure (annual % growth),1986,0.728068443353934
South Africa,Final consumption expenditure (annual % growth),1987,3.82432846727995
South Africa,Final consumption expenditure (annual % growth),1988,4.3217614646186
South Africa,Final consumption expenditure (annual % growth),1989,3.07703080235177
South Africa,Final consumption expenditure (annual % growth),1990,2.71068766011342
South Africa,Final consumption expenditure (annual % growth),1991,0.219377894958669
South Africa,Final consumption expenditure (annual % growth),1992,-0.533430273202654
South Africa,Final consumption expenditure (annual % growth),1993,1.69163392768787
South Africa,Final consumption expenditure (annual % growth),1994,3.12547078664869
South Africa,Final consumption expenditure (annual % growth),1995,2.70993327901854
South Africa,Final consumption expenditure (annual % growth),1996,4.30737726758434
South Africa,Final consumption expenditure (annual % growth),1997,2.98228098195079
South Africa,Final consumption expenditure (annual % growth),1998,0.777822944911108
South Africa,Final consumption expenditure (annual % growth),1999,1.42991906802436
South Africa,Final consumption expenditure (annual % growth),2000,3.85530949175575
South Africa,Final consumption expenditure (annual % growth),2001,3.40723302134296
South Africa,Final consumption expenditure (annual % growth),2002,3.49592495078144
South Africa,Final consumption expenditure (annual % growth),2003,3.49057603960856
South Africa,Final consumption expenditure (annual % growth),2004,6.00133304882957
South Africa,Final consumption expenditure (annual % growth),2005,4.93703801698528
South Africa,Final consumption expenditure (annual % growth),2006,7.6342517786203
South Africa,Final consumption expenditure (annual % growth),2007,6.44897852935303
South Africa,Final consumption expenditure (annual % growth),2008,2.62777763640607
South Africa,Final consumption expenditure (annual % growth),2009,-1.58852896666554
South Africa,Final consumption expenditure (annual % growth),2010,4.26694667569511
South Africa,Final consumption expenditure (annual % growth),2011,4.06040740518272
South Africa,Final consumption expenditure (annual % growth),2012,3.58214170637628
South Africa,Final consumption expenditure (annual % growth),2013,1.92194718969267
South Africa,Final consumption expenditure (annual % growth),2014,1.00118692544926
South Africa,Final consumption expenditure (annual % growth),2015,1.42415119441092
South Africa,Final consumption expenditure (annual % growth),2016,0.989120527376897
South Africa,Final consumption expenditure (annual % growth),2017,1.2520084793692
South Africa,Final consumption expenditure (annual % growth),2018,2.68815750130094
South Africa,Final consumption expenditure (annual % growth),2019,1.40756387940691
South Africa,Final consumption expenditure (annual % growth),2020,-4.53766238286393
South Africa,Final consumption expenditure (annual % growth),2021,4.56002245118619
South Africa,Final consumption expenditure (annual % growth),2022,2.12378500916097
