Country or Area,Item,Year,Value
South Africa,Final consumption expenditure (constant 2015 US$),1985,121141192248.269
South Africa,Final consumption expenditure (constant 2015 US$),1986,122023183040.931
South Africa,Final consumption expenditure (constant 2015 US$),1987,126689750366.647
South Africa,Final consumption expenditure (constant 2015 US$),1988,132164979177.614
South Africa,Final consumption expenditure (constant 2015 US$),1989,136231736296.831
South Africa,Final consumption expenditure (constant 2015 US$),1990,139924553161.787
South Africa,Final consumption expenditure (constant 2015 US$),1991,140231516701.044
South Africa,Final consumption expenditure (constant 2015 US$),1992,139483479338.389
South Africa,Final consumption expenditure (constant 2015 US$),1993,141843029198.397
South Africa,Final consumption expenditure (constant 2015 US$),1994,146276291638.891
South Africa,Final consumption expenditure (constant 2015 US$),1995,150240281545.327
South Africa,Final consumption expenditure (constant 2015 US$),1996,156711697279.365
South Africa,Final consumption expenditure (constant 2015 US$),1997,161385280423.82
South Africa,Final consumption expenditure (constant 2015 US$),1998,162640572164.666
South Africa,Final consumption expenditure (constant 2015 US$),1999,164966200718.392
South Africa,Final consumption expenditure (constant 2015 US$),2000,171326158312.877
South Africa,Final consumption expenditure (constant 2015 US$),2001,177163639753.112
South Africa,Final consumption expenditure (constant 2015 US$),2002,183357147638.953
South Africa,Final consumption expenditure (constant 2015 US$),2003,189757368301.348
South Africa,Final consumption expenditure (constant 2015 US$),2004,201145339957.806
South Africa,Final consumption expenditure (constant 2015 US$),2005,211075961860.918
South Africa,Final consumption expenditure (constant 2015 US$),2006,227190032233.525
South Africa,Final consumption expenditure (constant 2015 US$),2007,241841468633.095
South Africa,Final consumption expenditure (constant 2015 US$),2008,248196524661.391
South Africa,Final consumption expenditure (constant 2015 US$),2009,244253850972.888
South Africa,Final consumption expenditure (constant 2015 US$),2010,254676032547.233
South Africa,Final consumption expenditure (constant 2015 US$),2011,265016917032.006
South Africa,Final consumption expenditure (constant 2015 US$),2012,274510198545.962
South Africa,Final consumption expenditure (constant 2015 US$),2013,279786139592.336
South Africa,Final consumption expenditure (constant 2015 US$),2014,282587321841.154
South Africa,Final consumption expenditure (constant 2015 US$),2015,286611792560.408
South Africa,Final consumption expenditure (constant 2015 US$),2016,289446728634.506
South Africa,Final consumption expenditure (constant 2015 US$),2017,293070626220.267
South Africa,Final consumption expenditure (constant 2015 US$),2018,300948826243.117
South Africa,Final consumption expenditure (constant 2015 US$),2019,305184873216.814
South Africa,Final consumption expenditure (constant 2015 US$),2020,291336614026.664
South Africa,Final consumption expenditure (constant 2015 US$),2021,304621629034.805
South Africa,Final consumption expenditure (constant 2015 US$),2022,311091137526.908
