Country or Area,Item,Year,Value
South Africa,Final consumption expenditure (constant LCU),1985,1544635000000.0
South Africa,Final consumption expenditure (constant LCU),1986,1555881000000.0
South Africa,Final consumption expenditure (constant LCU),1987,1615383000000.0
South Africa,Final consumption expenditure (constant LCU),1988,1685196000000.0
South Africa,Final consumption expenditure (constant LCU),1989,1737050000000.0
South Africa,Final consumption expenditure (constant LCU),1990,1784136000000.0
South Africa,Final consumption expenditure (constant LCU),1991,1788050000000.0
South Africa,Final consumption expenditure (constant LCU),1992,1778512000000.0
South Africa,Final consumption expenditure (constant LCU),1993,1808597912400.0
South Africa,Final consumption expenditure (constant LCU),1994,1865125111800.0
South Africa,Final consumption expenditure (constant LCU),1995,1915668757900.0
South Africa,Final consumption expenditure (constant LCU),1996,1998183838500.0
South Africa,Final consumption expenditure (constant LCU),1997,2057775295100.0
South Africa,Final consumption expenditure (constant LCU),1998,2073781143500.0
South Africa,Final consumption expenditure (constant LCU),1999,2103434535500.0
South Africa,Final consumption expenditure (constant LCU),2000,2184528446800.0
South Africa,Final consumption expenditure (constant LCU),2001,2258960421400.0
South Africa,Final consumption expenditure (constant LCU),2002,2337931982400.0
South Africa,Final consumption expenditure (constant LCU),2003,2419539276000.0
South Africa,Final consumption expenditure (constant LCU),2004,2564743886200.0
South Africa,Final consumption expenditure (constant LCU),2005,2691366266900.0
South Africa,Final consumption expenditure (constant LCU),2006,2896831944000.0
South Africa,Final consumption expenditure (constant LCU),2007,3083648014100.0
South Africa,Final consumption expenditure (constant LCU),2008,3164679427000.0
South Africa,Final consumption expenditure (constant LCU),2009,3114407577600.0
South Africa,Final consumption expenditure (constant LCU),2010,3247297688200.0
South Africa,Final consumption expenditure (constant LCU),2011,3379151204000.0
South Africa,Final consumption expenditure (constant LCU),2012,3500197188600.0
South Africa,Final consumption expenditure (constant LCU),2013,3567469130100.0
South Africa,Final consumption expenditure (constant LCU),2014,3603186164600.0
South Africa,Final consumption expenditure (constant LCU),2015,3654500983400.0
South Africa,Final consumption expenditure (constant LCU),2016,3690648402800.0
South Africa,Final consumption expenditure (constant LCU),2017,3736855633746.76
South Africa,Final consumption expenditure (constant LCU),2018,3837308198778.11
South Africa,Final consumption expenditure (constant LCU),2019,3891320762925.63
South Africa,Final consumption expenditure (constant LCU),2020,3714745764469.78
South Africa,Final consumption expenditure (constant LCU),2021,3884139005334.09
South Africa,Final consumption expenditure (constant LCU),2022,3966629767264.35
