Country or Area,Item,Year,Value
South Africa,Final consumption expenditure (current LCU),1985,106998000000.0
South Africa,Final consumption expenditure (current LCU),1986,127279000000.0
South Africa,Final consumption expenditure (current LCU),1987,153626000000.0
South Africa,Final consumption expenditure (current LCU),1988,185423000000.0
South Africa,Final consumption expenditure (current LCU),1989,220187000000.0
South Africa,Final consumption expenditure (current LCU),1990,266857000000.0
South Africa,Final consumption expenditure (current LCU),1991,307360000000.0
South Africa,Final consumption expenditure (current LCU),1992,347794000000.0
South Africa,Final consumption expenditure (current LCU),1993,394110973800.0
South Africa,Final consumption expenditure (current LCU),1994,450543110600.0
South Africa,Final consumption expenditure (current LCU),1995,505965400400.0
South Africa,Final consumption expenditure (current LCU),1996,575229750700.0
South Africa,Final consumption expenditure (current LCU),1997,644663156100.0
South Africa,Final consumption expenditure (current LCU),1998,699212797500.0
South Africa,Final consumption expenditure (current LCU),1999,767004708400.0
South Africa,Final consumption expenditure (current LCU),2000,865585350600.0
South Africa,Final consumption expenditure (current LCU),2001,955315502300.0
South Africa,Final consumption expenditure (current LCU),2002,1081223430200.0
South Africa,Final consumption expenditure (current LCU),2003,1173977635500.0
South Africa,Final consumption expenditure (current LCU),2004,1333092014600.0
South Africa,Final consumption expenditure (current LCU),2005,1464862161000.0
South Africa,Final consumption expenditure (current LCU),2006,1634261324700.0
South Africa,Final consumption expenditure (current LCU),2007,1862172177600.0
South Africa,Final consumption expenditure (current LCU),2008,2092170397000.0
South Africa,Final consumption expenditure (current LCU),2009,2229757294800.0
South Africa,Final consumption expenditure (current LCU),2010,2455599336900.0
South Africa,Final consumption expenditure (current LCU),2011,2699164018400.0
South Africa,Final consumption expenditure (current LCU),2012,2964453148300.0
South Africa,Final consumption expenditure (current LCU),2013,3208940084700.0
South Africa,Final consumption expenditure (current LCU),2014,3431543404800.0
South Africa,Final consumption expenditure (current LCU),2015,3654500983400.0
South Africa,Final consumption expenditure (current LCU),2016,3930850922200.0
South Africa,Final consumption expenditure (current LCU),2017,4176559736052.25
South Africa,Final consumption expenditure (current LCU),2018,4468657910967.21
South Africa,Final consumption expenditure (current LCU),2019,4706775938430.02
South Africa,Final consumption expenditure (current LCU),2020,4626685726430.55
South Africa,Final consumption expenditure (current LCU),2021,5039711255774.0
South Africa,Final consumption expenditure (current LCU),2022,5478698779801.06
