Country or Area,Item,Year,Value
South Africa,Final consumption expenditure (current US$),1985,48009691857.2695
South Africa,Final consumption expenditure (current US$),1986,55701189305.0075
South Africa,Final consumption expenditure (current US$),1987,75453590388.7609
South Africa,Final consumption expenditure (current US$),1988,81559538115.3374
South Africa,Final consumption expenditure (current US$),1989,83955058133.35
South Africa,Final consumption expenditure (current US$),1990,103140275211.309
South Africa,Final consumption expenditure (current US$),1991,111309285612.109
South Africa,Final consumption expenditure (current US$),1992,121946806712.73
South Africa,Final consumption expenditure (current US$),1993,120606514773.81
South Africa,Final consumption expenditure (current US$),1994,126885029956.646
South Africa,Final consumption expenditure (current US$),1995,139496427682.285
South Africa,Final consumption expenditure (current US$),1996,133794616510.546
South Africa,Final consumption expenditure (current US$),1997,139902012234.476
South Africa,Final consumption expenditure (current US$),1998,126479174640.811
South Africa,Final consumption expenditure (current US$),1999,125543287845.586
South Africa,Final consumption expenditure (current US$),2000,124727205141.107
South Africa,Final consumption expenditure (current US$),2001,110964736634.065
South Africa,Final consumption expenditure (current US$),2002,102575598313.858
South Africa,Final consumption expenditure (current US$),2003,155190560255.205
South Africa,Final consumption expenditure (current US$),2004,206370800377.046
South Africa,Final consumption expenditure (current US$),2005,230348577868.605
South Africa,Final consumption expenditure (current US$),2006,241342316905.63
South Africa,Final consumption expenditure (current US$),2007,264311668394.753
South Africa,Final consumption expenditure (current US$),2008,253251897085.94
South Africa,Final consumption expenditure (current US$),2009,263139376709.559
South Africa,Final consumption expenditure (current US$),2010,335408397245.706
South Africa,Final consumption expenditure (current US$),2011,371727716614.985
South Africa,Final consumption expenditure (current US$),2012,361082735270.832
South Africa,Final consumption expenditure (current US$),2013,332525759538.662
South Africa,Final consumption expenditure (current US$),2014,316434602633.617
South Africa,Final consumption expenditure (current US$),2015,286611792560.408
South Africa,Final consumption expenditure (current US$),2016,267244841333.08
South Africa,Final consumption expenditure (current US$),2017,313722760334.131
South Africa,Final consumption expenditure (current US$),2018,337666835296.435
South Africa,Final consumption expenditure (current US$),2019,325763900695.212
South Africa,Final consumption expenditure (current US$),2020,281101902347.093
South Africa,Final consumption expenditure (current US$),2021,341012318948.555
South Africa,Final consumption expenditure (current US$),2022,334968697737.81
