Country or Area,Item,Year,Value
South Africa,Final consumption expenditure (% of GDP),1985,74.4805407249111
South Africa,Final consumption expenditure (% of GDP),1986,75.9339689054875
South Africa,Final consumption expenditure (% of GDP),1987,78.1612821165098
South Africa,Final consumption expenditure (% of GDP),1988,78.4401069428228
South Africa,Final consumption expenditure (% of GDP),1989,77.6961484853297
South Africa,Final consumption expenditure (% of GDP),1990,81.8260984217805
South Africa,Final consumption expenditure (% of GDP),1991,82.3271013017625
South Africa,Final consumption expenditure (% of GDP),1992,82.9817642160617
South Africa,Final consumption expenditure (% of GDP),1993,81.9366973131542
South Africa,Final consumption expenditure (% of GDP),1994,82.6544121251937
South Africa,Final consumption expenditure (% of GDP),1995,81.2272798805637
South Africa,Final consumption expenditure (% of GDP),1996,81.9644547259843
South Africa,Final consumption expenditure (% of GDP),1997,82.7930054629156
South Africa,Final consumption expenditure (% of GDP),1998,82.6753217077504
South Africa,Final consumption expenditure (% of GDP),1999,82.8575825876129
South Africa,Final consumption expenditure (% of GDP),2000,82.1910635627812
South Africa,Final consumption expenditure (% of GDP),2001,81.9351795884313
South Africa,Final consumption expenditure (% of GDP),2002,79.4620341461832
South Africa,Final consumption expenditure (% of GDP),2003,78.76935096682
South Africa,Final consumption expenditure (% of GDP),2004,80.6744436695891
South Africa,Final consumption expenditure (% of GDP),2005,79.7420282246444
South Africa,Final consumption expenditure (% of GDP),2006,79.425843812688
South Africa,Final consumption expenditure (% of GDP),2007,79.3544962121921
South Africa,Final consumption expenditure (% of GDP),2008,80.1097297984423
South Africa,Final consumption expenditure (% of GDP),2009,79.7986766844233
South Africa,Final consumption expenditure (% of GDP),2010,80.3635530732275
South Africa,Final consumption expenditure (% of GDP),2011,81.1279193470578
South Africa,Final consumption expenditure (% of GDP),2012,83.1220723260151
South Africa,Final consumption expenditure (% of GDP),2013,82.9477078923799
South Africa,Final consumption expenditure (% of GDP),2014,83.010372727357
South Africa,Final consumption expenditure (% of GDP),2015,82.6661953160688
South Africa,Final consumption expenditure (% of GDP),2016,82.5886306225274
South Africa,Final consumption expenditure (% of GDP),2017,82.2450479019548
South Africa,Final consumption expenditure (% of GDP),2018,83.3208883537646
South Africa,Final consumption expenditure (% of GDP),2019,83.6729442208137
South Africa,Final consumption expenditure (% of GDP),2020,83.0946059076019
South Africa,Final consumption expenditure (% of GDP),2021,81.1706404326539
South Africa,Final consumption expenditure (% of GDP),2022,82.6530449095127
