Country or Area,Item,Year,Value
South Africa,"GDP, PPP (current international $)",1990,260005530907.573
South Africa,"GDP, PPP (current international $)",1991,266061272857.018
South Africa,"GDP, PPP (current international $)",1992,266309179212.543
South Africa,"GDP, PPP (current international $)",1993,275984556651.817
South Africa,"GDP, PPP (current international $)",1994,290898092201.713
South Africa,"GDP, PPP (current international $)",1995,306204872446.898
South Africa,"GDP, PPP (current international $)",1996,325219274833.31
South Africa,"GDP, PPP (current international $)",1997,339428971756.406
South Africa,"GDP, PPP (current international $)",1998,344965603985.848
South Africa,"GDP, PPP (current international $)",1999,358222819601.563
South Africa,"GDP, PPP (current international $)",2000,381724746539.197
South Africa,"GDP, PPP (current international $)",2001,400863593448.098
South Africa,"GDP, PPP (current international $)",2002,422175816220.222
South Africa,"GDP, PPP (current international $)",2003,443203877379.853
South Africa,"GDP, PPP (current international $)",2004,475829138245.234
South Africa,"GDP, PPP (current international $)",2005,516647451419.141
South Africa,"GDP, PPP (current international $)",2006,562434295851.793
South Africa,"GDP, PPP (current international $)",2007,608598165269.567
South Africa,"GDP, PPP (current international $)",2008,640063779483.396
South Africa,"GDP, PPP (current international $)",2009,634258446718.832
South Africa,"GDP, PPP (current international $)",2010,661392376743.832
South Africa,"GDP, PPP (current international $)",2011,696526225201.767
South Africa,"GDP, PPP (current international $)",2012,698463315669.415
South Africa,"GDP, PPP (current international $)",2013,731024717341.774
South Africa,"GDP, PPP (current international $)",2014,742688200700.391
South Africa,"GDP, PPP (current international $)",2015,759954918901.854
South Africa,"GDP, PPP (current international $)",2016,774110394019.95
South Africa,"GDP, PPP (current international $)",2017,791817133502.432
South Africa,"GDP, PPP (current international $)",2018,782329029153.894
South Africa,"GDP, PPP (current international $)",2019,796182639284.228
South Africa,"GDP, PPP (current international $)",2020,768110330806.977
South Africa,"GDP, PPP (current international $)",2021,841739362177.408
South Africa,"GDP, PPP (current international $)",2022,918216733911.813
