Country or Area,Item,Year,Value
South Africa,GDP (constant 2015 US$),1985,170481777771.837
South Africa,GDP (constant 2015 US$),1986,170512207473.79
South Africa,GDP (constant 2015 US$),1987,174094206899.749
South Africa,GDP (constant 2015 US$),1988,181406354481.02
South Africa,GDP (constant 2015 US$),1989,185750664997.127
South Africa,GDP (constant 2015 US$),1990,185160422891.731
South Africa,GDP (constant 2015 US$),1991,183275036203.752
South Africa,GDP (constant 2015 US$),1992,179358388483.382
South Africa,GDP (constant 2015 US$),1993,181570878123.149
South Africa,GDP (constant 2015 US$),1994,187381146228.486
South Africa,GDP (constant 2015 US$),1995,193189961762.588
South Africa,GDP (constant 2015 US$),1996,201497130113.101
South Africa,GDP (constant 2015 US$),1997,206736055498.991
South Africa,GDP (constant 2015 US$),1998,207769735777.192
South Africa,GDP (constant 2015 US$),1999,212756209430.574
South Africa,GDP (constant 2015 US$),2000,221691970228.101
South Africa,GDP (constant 2015 US$),2001,227677653424.683
South Africa,GDP (constant 2015 US$),2002,236102579035.79
South Africa,GDP (constant 2015 US$),2003,243065422272.369
South Africa,GDP (constant 2015 US$),2004,254135982543.496
South Africa,GDP (constant 2015 US$),2005,267546870424.295
South Africa,GDP (constant 2015 US$),2006,282539679229.874
South Africa,GDP (constant 2015 US$),2007,297685145427.081
South Africa,GDP (constant 2015 US$),2008,307184409060.741
South Africa,GDP (constant 2015 US$),2009,302459639039.778
South Africa,GDP (constant 2015 US$),2010,311653604140.269
South Africa,GDP (constant 2015 US$),2011,321528523981.702
South Africa,GDP (constant 2015 US$),2012,329233094599.263
South Africa,GDP (constant 2015 US$),2013,337416077838.151
South Africa,GDP (constant 2015 US$),2014,342186555600.731
South Africa,GDP (constant 2015 US$),2015,346709790458.563
South Africa,GDP (constant 2015 US$),2016,349013858372.625
South Africa,GDP (constant 2015 US$),2017,353055253705.882
South Africa,GDP (constant 2015 US$),2018,358551560864.878
South Africa,GDP (constant 2015 US$),2019,359483563933.709
South Africa,GDP (constant 2015 US$),2020,338046271407.903
South Africa,GDP (constant 2015 US$),2021,353944797356.9
South Africa,GDP (constant 2015 US$),2022,360706580601.809
