Country or Area,Item,Year,Value
South Africa,GDP (constant LCU),1985,2173762000000.0
South Africa,GDP (constant LCU),1986,2174150000000.0
South Africa,GDP (constant LCU),1987,2219823000000.0
South Africa,GDP (constant LCU),1988,2313058000000.0
South Africa,GDP (constant LCU),1989,2368451000000.0
South Africa,GDP (constant LCU),1990,2360925000000.0
South Africa,GDP (constant LCU),1991,2336885000000.0
South Africa,GDP (constant LCU),1992,2286945000000.0
South Africa,GDP (constant LCU),1993,2315155791600.0
South Africa,GDP (constant LCU),1994,2389240777000.0
South Africa,GDP (constant LCU),1995,2463307241100.0
South Africa,GDP (constant LCU),1996,2569229452400.0
South Africa,GDP (constant LCU),1997,2636029418200.0
South Africa,GDP (constant LCU),1998,2649209565300.0
South Africa,GDP (constant LCU),1999,2712790594800.0
South Africa,GDP (constant LCU),2000,2826727799800.0
South Africa,GDP (constant LCU),2001,2903049450400.0
South Africa,GDP (constant LCU),2002,3010473149200.0
South Africa,GDP (constant LCU),2003,3099254274300.0
South Africa,GDP (constant LCU),2004,3240411666900.0
South Africa,GDP (constant LCU),2005,3411409874700.0
South Africa,GDP (constant LCU),2006,3602578681600.0
South Africa,GDP (constant LCU),2007,3795693977100.0
South Africa,GDP (constant LCU),2008,3916816237700.0
South Africa,GDP (constant LCU),2009,3856572112700.0
South Africa,GDP (constant LCU),2010,3973801603300.0
South Africa,GDP (constant LCU),2011,4099713743500.0
South Africa,GDP (constant LCU),2012,4197952411900.0
South Africa,GDP (constant LCU),2013,4302291176100.0
South Africa,GDP (constant LCU),2014,4363118106800.0
South Africa,GDP (constant LCU),2015,4420792517400.0
South Africa,GDP (constant LCU),2016,4450170996100.0
South Africa,GDP (constant LCU),2017,4501701615484.83
South Africa,GDP (constant LCU),2018,4571783379053.4
South Africa,GDP (constant LCU),2019,4583667070562.17
South Africa,GDP (constant LCU),2020,4310326585235.66
South Africa,GDP (constant LCU),2021,4513043919695.86
South Africa,GDP (constant LCU),2022,4599261389164.6
