Country or Area,Item,Year,Value
South Africa,GDP: linked series (current LCU),1990,327231668405.071
South Africa,GDP: linked series (current LCU),1991,374604589875.567
South Africa,GDP: linked series (current LCU),1992,420540660827.229
South Africa,GDP: linked series (current LCU),1993,480994458800.0
South Africa,GDP: linked series (current LCU),1994,545092632100.0
South Africa,GDP: linked series (current LCU),1995,622900829800.0
South Africa,GDP: linked series (current LCU),1996,701803913200.0
South Africa,GDP: linked series (current LCU),1997,778644467000.0
South Africa,GDP: linked series (current LCU),1998,845733385800.0
South Africa,GDP: linked series (current LCU),1999,925690425000.0
South Africa,GDP: linked series (current LCU),2000,1053138033600.0
South Africa,GDP: linked series (current LCU),2001,1165940572900.0
South Africa,GDP: linked series (current LCU),2002,1360679275100.0
South Africa,GDP: linked series (current LCU),2003,1490399020800.0
South Africa,GDP: linked series (current LCU),2004,1652434096800.0
South Africa,GDP: linked series (current LCU),2005,1837001382600.0
South Africa,GDP: linked series (current LCU),2006,2057593909300.0
South Africa,GDP: linked series (current LCU),2007,2346649864200.0
South Africa,GDP: linked series (current LCU),2008,2611630824700.0
South Africa,GDP: linked series (current LCU),2009,2794228410100.0
South Africa,GDP: linked series (current LCU),2010,3055613201500.0
South Africa,GDP: linked series (current LCU),2011,3327047014300.0
South Africa,GDP: linked series (current LCU),2012,3566385035100.0
South Africa,GDP: linked series (current LCU),2013,3868630208400.0
South Africa,GDP: linked series (current LCU),2014,4133873023400.0
South Africa,GDP: linked series (current LCU),2015,4420792525200.0
South Africa,GDP: linked series (current LCU),2016,4759554544700.0
South Africa,GDP: linked series (current LCU),2017,5078189924615.51
South Africa,GDP: linked series (current LCU),2018,5363190430704.64
South Africa,GDP: linked series (current LCU),2019,5625206549453.76
South Africa,GDP: linked series (current LCU),2020,5567973607787.81
South Africa,GDP: linked series (current LCU),2021,6208785872467.49
South Africa,GDP: linked series (current LCU),2022,6628550449410.62
