Country or Area,Item,Year,Value
South Africa,"GDP per capita, PPP (constant 2021 international $)",1990,11042.3518555913
South Africa,"GDP per capita, PPP (constant 2021 international $)",1991,10653.829875049
South Africa,"GDP per capita, PPP (constant 2021 international $)",1992,10213.9906260073
South Africa,"GDP per capita, PPP (constant 2021 international $)",1993,10154.0543022408
South Africa,"GDP per capita, PPP (constant 2021 international $)",1994,10299.1493123735
South Africa,"GDP per capita, PPP (constant 2021 international $)",1995,10445.0701427404
South Africa,"GDP per capita, PPP (constant 2021 international $)",1996,10729.43027095
South Africa,"GDP per capita, PPP (constant 2021 international $)",1997,10856.8414815189
South Africa,"GDP per capita, PPP (constant 2021 international $)",1998,10776.1725053239
South Africa,"GDP per capita, PPP (constant 2021 international $)",1999,10912.8220025848
South Africa,"GDP per capita, PPP (constant 2021 international $)",2000,11262.1971392332
South Africa,"GDP per capita, PPP (constant 2021 international $)",2001,11464.2908200926
South Africa,"GDP per capita, PPP (constant 2021 international $)",2002,11780.8059016315
South Africa,"GDP per capita, PPP (constant 2021 international $)",2003,12016.6568951657
South Africa,"GDP per capita, PPP (constant 2021 international $)",2004,12447.0010422551
South Africa,"GDP per capita, PPP (constant 2021 international $)",2005,12980.5755393445
South Africa,"GDP per capita, PPP (constant 2021 international $)",2006,13576.5270156652
South Africa,"GDP per capita, PPP (constant 2021 international $)",2007,14159.997978704
South Africa,"GDP per capita, PPP (constant 2021 international $)",2008,14447.2200414847
South Africa,"GDP per capita, PPP (constant 2021 international $)",2009,14056.8336223857
South Africa,"GDP per capita, PPP (constant 2021 international $)",2010,14312.3497050591
South Africa,"GDP per capita, PPP (constant 2021 international $)",2011,14580.4655606971
South Africa,"GDP per capita, PPP (constant 2021 international $)",2012,14732.719035272
South Africa,"GDP per capita, PPP (constant 2021 international $)",2013,14894.6996435944
South Africa,"GDP per capita, PPP (constant 2021 international $)",2014,14869.0479011106
South Africa,"GDP per capita, PPP (constant 2021 international $)",2015,14756.3512067748
South Africa,"GDP per capita, PPP (constant 2021 international $)",2016,14710.7288235046
South Africa,"GDP per capita, PPP (constant 2021 international $)",2017,14823.5515243781
South Africa,"GDP per capita, PPP (constant 2021 international $)",2018,14870.9528574815
South Africa,"GDP per capita, PPP (constant 2021 international $)",2019,14717.7622732356
South Africa,"GDP per capita, PPP (constant 2021 international $)",2020,13671.8314306317
South Africa,"GDP per capita, PPP (constant 2021 international $)",2021,14172.5442513912
South Africa,"GDP per capita, PPP (constant 2021 international $)",2022,14322.330282675
