Country or Area,Item,Year,Value
South Africa,"GDP per capita, PPP (current international $)",1990,6520.09465239666
South Africa,"GDP per capita, PPP (current international $)",1991,6503.42302797199
South Africa,"GDP per capita, PPP (current international $)",1992,6377.02022419238
South Africa,"GDP per capita, PPP (current international $)",1993,6489.86951462036
South Africa,"GDP per capita, PPP (current international $)",1994,6723.17216462077
South Africa,"GDP per capita, PPP (current international $)",1995,6961.40334854309
South Africa,"GDP per capita, PPP (current international $)",1996,7281.85405331981
South Africa,"GDP per capita, PPP (current international $)",1997,7495.38725798427
South Africa,"GDP per capita, PPP (current international $)",1998,7523.43093204906
South Africa,"GDP per capita, PPP (current international $)",1999,7726.20045852494
South Africa,"GDP per capita, PPP (current international $)",2000,8154.2002760328
South Africa,"GDP per capita, PPP (current international $)",2001,8487.52955497672
South Africa,"GDP per capita, PPP (current international $)",2002,8857.79281413976
South Africa,"GDP per capita, PPP (current international $)",2003,9213.44244001779
South Africa,"GDP per capita, PPP (current international $)",2004,9799.58074130903
South Africa,"GDP per capita, PPP (current international $)",2005,10540.1371364829
South Africa,"GDP per capita, PPP (current international $)",2006,11364.2016632385
South Africa,"GDP per capita, PPP (current international $)",2007,12172.9142534528
South Africa,"GDP per capita, PPP (current international $)",2008,12658.0342363215
South Africa,"GDP per capita, PPP (current international $)",2009,12394.9343573377
South Africa,"GDP per capita, PPP (current international $)",2010,12771.9105093128
South Africa,"GDP per capita, PPP (current international $)",2011,13281.5038939992
South Africa,"GDP per capita, PPP (current international $)",2012,13142.5888035372
South Africa,"GDP per capita, PPP (current international $)",2013,13569.2528480319
South Africa,"GDP per capita, PPP (current international $)",2014,13570.1497112664
South Africa,"GDP per capita, PPP (current international $)",2015,13600.6167977484
South Africa,"GDP per capita, PPP (current international $)",2016,13719.9431915834
South Africa,"GDP per capita, PPP (current international $)",2017,13979.5238746128
South Africa,"GDP per capita, PPP (current international $)",2018,13643.7741390208
South Africa,"GDP per capita, PPP (current international $)",2019,13706.7138157414
South Africa,"GDP per capita, PPP (current international $)",2020,13062.6727727303
South Africa,"GDP per capita, PPP (current international $)",2021,14172.5442513912
South Africa,"GDP per capita, PPP (current international $)",2022,15330.725898175
