Country or Area,Item,Year,Value
South Africa,GDP per capita (constant 2015 US$),1985,5050.86835549723
South Africa,GDP per capita (constant 2015 US$),1986,4888.8416486468
South Africa,GDP per capita (constant 2015 US$),1987,4819.97291865133
South Africa,GDP per capita (constant 2015 US$),1988,4851.23462621034
South Africa,GDP per capita (constant 2015 US$),1989,4803.64589074527
South Africa,GDP per capita (constant 2015 US$),1990,4643.22231499389
South Africa,GDP per capita (constant 2015 US$),1991,4479.85187058929
South Africa,GDP per capita (constant 2015 US$),1992,4294.90291742528
South Africa,GDP per capita (constant 2015 US$),1993,4269.70016355266
South Africa,GDP per capita (constant 2015 US$),1994,4330.71147687187
South Africa,GDP per capita (constant 2015 US$),1995,4392.07004112001
South Africa,GDP per capita (constant 2015 US$),1996,4511.64124389134
South Africa,GDP per capita (constant 2015 US$),1997,4565.21665824426
South Africa,GDP per capita (constant 2015 US$),1998,4531.29598669759
South Africa,GDP per capita (constant 2015 US$),1999,4588.7560281192
South Africa,GDP per capita (constant 2015 US$),2000,4735.66553181957
South Africa,GDP per capita (constant 2015 US$),2001,4820.64433895753
South Africa,GDP per capita (constant 2015 US$),2002,4953.7364473103
South Africa,GDP per capita (constant 2015 US$),2003,5052.90993956202
South Africa,GDP per capita (constant 2015 US$),2004,5233.86627685538
South Africa,GDP per capita (constant 2015 US$),2005,5458.23016635984
South Africa,GDP per capita (constant 2015 US$),2006,5708.82308621003
South Africa,GDP per capita (constant 2015 US$),2007,5954.16804814954
South Africa,GDP per capita (constant 2015 US$),2008,6074.94267195276
South Africa,GDP per capita (constant 2015 US$),2009,5910.78824576381
South Africa,GDP per capita (constant 2015 US$),2010,6018.23075370279
South Africa,GDP per capita (constant 2015 US$),2011,6130.97136731323
South Africa,GDP per capita (constant 2015 US$),2012,6194.99275876379
South Africa,GDP per capita (constant 2015 US$),2013,6263.10433363432
South Africa,GDP per capita (constant 2015 US$),2014,6252.31797718806
South Africa,GDP per capita (constant 2015 US$),2015,6204.92990145846
South Africa,GDP per capita (constant 2015 US$),2016,6185.74604725477
South Africa,GDP per capita (constant 2015 US$),2017,6233.18710774485
South Africa,GDP per capita (constant 2015 US$),2018,6253.1189963954
South Africa,GDP per capita (constant 2015 US$),2019,6188.70355768095
South Africa,GDP per capita (constant 2015 US$),2020,5748.89784492783
South Africa,GDP per capita (constant 2015 US$),2021,5959.44365737418
South Africa,GDP per capita (constant 2015 US$),2022,6022.42750828084
