Country or Area,Item,Year,Value
South Africa,GDP per capita (constant LCU),1985,64402.1070268081
South Africa,GDP per capita (constant LCU),1986,62336.1530994155
South Africa,GDP per capita (constant LCU),1987,61458.0285854116
South Africa,GDP per capita (constant LCU),1988,61856.637239281
South Africa,GDP per capita (constant LCU),1989,61249.8475510571
South Africa,GDP per capita (constant LCU),1990,59204.334667333
South Africa,GDP per capita (constant LCU),1991,57121.2471455387
South Africa,GDP per capita (constant LCU),1992,54763.0185325912
South Africa,GDP per capita (constant LCU),1993,54441.6657793547
South Africa,GDP per capita (constant LCU),1994,55219.6027307213
South Africa,GDP per capita (constant LCU),1995,56001.9673744996
South Africa,GDP per capita (constant LCU),1996,57526.5839069861
South Africa,GDP per capita (constant LCU),1997,58209.7079415705
South Africa,GDP per capita (constant LCU),1998,57777.1956356435
South Africa,GDP per capita (constant LCU),1999,58509.8513845054
South Africa,GDP per capita (constant LCU),2000,60383.0503900326
South Africa,GDP per capita (constant LCU),2001,61466.5896642948
South Africa,GDP per capita (constant LCU),2002,63163.6072072742
South Africa,GDP per capita (constant LCU),2003,64428.1386526972
South Africa,GDP per capita (constant LCU),2004,66735.4586185526
South Africa,GDP per capita (constant LCU),2005,69596.2552594095
South Africa,GDP per capita (constant LCU),2006,72791.4903969057
South Africa,GDP per capita (constant LCU),2007,75919.8103975883
South Africa,GDP per capita (constant LCU),2008,77459.7713905988
South Africa,GDP per capita (constant LCU),2009,75366.6875522845
South Africa,GDP per capita (constant LCU),2010,76736.6547358448
South Africa,GDP per capita (constant LCU),2011,78174.1764752712
South Africa,GDP per capita (constant LCU),2012,78990.4940297995
South Africa,GDP per capita (constant LCU),2013,79858.9642859688
South Africa,GDP per capita (constant LCU),2014,79721.4306910722
South Africa,GDP per capita (constant LCU),2015,79117.1995549328
South Africa,GDP per capita (constant LCU),2016,78872.5919855694
South Africa,GDP per capita (constant LCU),2017,79477.498714493
South Africa,GDP per capita (constant LCU),2018,79731.6442466611
South Africa,GDP per capita (constant LCU),2019,78910.302313694
South Africa,GDP per capita (constant LCU),2020,73302.4716219871
South Africa,GDP per capita (constant LCU),2021,75987.0781080102
South Africa,GDP per capita (constant LCU),2022,76790.1662943487
