Country or Area,Item,Year,Value
South Africa,GDP per capita (current LCU),1985,4256.18917497142
South Africa,GDP per capita (current LCU),1986,4805.86036392053
South Africa,GDP per capita (current LCU),1987,5441.6840975441
South Africa,GDP per capita (current LCU),1988,6321.57376240421
South Africa,GDP per capita (current LCU),1989,7328.79867336577
South Africa,GDP per capita (current LCU),1990,8178.20644537769
South Africa,GDP per capita (current LCU),1991,9125.67217013906
South Africa,GDP per capita (current LCU),1992,10036.2409635554
South Africa,GDP per capita (current LCU),1993,11310.7461980405
South Africa,GDP per capita (current LCU),1994,12598.059971921
South Africa,GDP per capita (current LCU),1995,14161.3158789039
South Africa,GDP per capita (current LCU),1996,15713.8093140096
South Africa,GDP per capita (current LCU),1997,17194.294836565
South Africa,GDP per capita (current LCU),1998,18444.7859191646
South Africa,GDP per capita (current LCU),1999,19965.4220634021
South Africa,GDP per capita (current LCU),2000,22496.57252284
South Africa,GDP per capita (current LCU),2001,24686.5897367069
South Africa,GDP per capita (current LCU),2002,28548.8051239833
South Africa,GDP per capita (current LCU),2003,30982.8191756336
South Africa,GDP per capita (current LCU),2004,34031.462240839
South Africa,GDP per capita (current LCU),2005,37476.709580833
South Africa,GDP per capita (current LCU),2006,41574.4777635289
South Africa,GDP per capita (current LCU),2007,46936.6639761898
South Africa,GDP per capita (current LCU),2008,51648.1535923916
South Africa,GDP per capita (current LCU),2009,54605.9384810225
South Africa,GDP per capita (current LCU),2010,59005.8484689008
South Africa,GDP per capita (current LCU),2011,63440.8099467377
South Africa,GDP per capita (current LCU),2012,67106.648237475
South Africa,GDP per capita (current LCU),2013,71809.3659872395
South Africa,GDP per capita (current LCU),2014,75532.7414142316
South Africa,GDP per capita (current LCU),2015,79117.1996945263
South Africa,GDP per capita (current LCU),2016,84355.95035925
South Africa,GDP per capita (current LCU),2017,89655.3942663104
South Africa,GDP per capita (current LCU),2018,93533.738585965
South Africa,GDP per capita (current LCU),2019,96840.966536413
South Africa,GDP per capita (current LCU),2020,94690.3255022202
South Africa,GDP per capita (current LCU),2021,104538.645189806
South Africa,GDP per capita (current LCU),2022,110671.572722501
