Country or Area,Item,Year,Value
South Africa,GDP per capita (current US$),1985,1909.73972201932
South Africa,GDP per capita (current US$),1986,2103.19171194125
South Africa,GDP per capita (current US$),1987,2672.6895377158
South Africa,GDP per capita (current US$),1988,2780.58620680133
South Africa,GDP per capita (current US$),1989,2794.39621172023
South Africa,GDP per capita (current US$),1990,3160.87816137916
South Africa,GDP per capita (current US$),1991,3304.82837710984
South Africa,GDP per capita (current US$),1992,3519.00129647168
South Africa,GDP per capita (current US$),1993,3461.33391131874
South Africa,GDP per capita (current US$),1994,3547.95174828899
South Africa,GDP per capita (current US$),1995,3904.32423803244
South Africa,GDP per capita (current US$),1996,3654.9275981107
South Africa,GDP per capita (current US$),1997,3731.43156053914
South Africa,GDP per capita (current US$),1998,3336.4396473055
South Africa,GDP per capita (current US$),1999,3267.93916857825
South Africa,GDP per capita (current US$),2000,3241.66139605189
South Africa,GDP per capita (current US$),2001,2867.47249671099
South Africa,GDP per capita (current US$),2002,2708.42333318343
South Africa,GDP per capita (current US$),2003,4095.68370023032
South Africa,GDP per capita (current US$),2004,5268.27857621702
South Africa,GDP per capita (current US$),2005,5893.18707587233
South Africa,GDP per capita (current US$),2006,6139.58161766664
South Africa,GDP per capita (current US$),2007,6662.06278541847
South Africa,GDP per capita (current US$),2008,6251.87742691265
South Africa,GDP per capita (current US$),2009,6444.18684044519
South Africa,GDP per capita (current US$),2010,8059.56279824609
South Africa,GDP per capita (current US$),2011,8737.04126942435
South Africa,GDP per capita (current US$),2012,8173.8691381716
South Africa,GDP per capita (current US$),2013,7441.23085399675
South Africa,GDP per capita (current US$),2014,6965.1378973693
South Africa,GDP per capita (current US$),2015,6204.92990145846
South Africa,GDP per capita (current US$),2016,5735.06678717842
South Africa,GDP per capita (current US$),2017,6734.47515314548
South Africa,GDP per capita (current US$),2018,7067.72416484458
South Africa,GDP per capita (current US$),2019,6702.52661666304
South Africa,GDP per capita (current US$),2020,5753.06649433369
South Africa,GDP per capita (current US$),2021,7073.61275411821
South Africa,GDP per capita (current US$),2022,6766.48125429478
