Country or Area,Item,Year,Value
South Africa,GDP per capita growth (annual %),1985,-4.09373595822792
South Africa,GDP per capita growth (annual %),1986,-3.20789803745485
South Africa,GDP per capita growth (annual %),1987,-1.40869217996733
South Africa,GDP per capita growth (annual %),1988,0.64858678848681
South Africa,GDP per capita growth (annual %),1989,-0.980961324937027
South Africa,GDP per capita growth (annual %),1990,-3.33962118357752
South Africa,GDP per capita growth (annual %),1991,-3.51847129690613
South Africa,GDP per capita growth (annual %),1992,-4.12846135333668
South Africa,GDP per capita growth (annual %),1993,-0.586806136417181
South Africa,GDP per capita growth (annual %),1994,1.42893671644715
South Africa,GDP per capita growth (annual %),1995,1.41682410790519
South Africa,GDP per capita growth (annual %),1996,2.72243387860094
South Africa,GDP per capita growth (annual %),1997,1.18749278714161
South Africa,GDP per capita growth (annual %),1998,-0.74302435319062
South Africa,GDP per capita growth (annual %),1999,1.26807080337059
South Africa,GDP per capita growth (annual %),2000,3.20151044858625
South Africa,GDP per capita growth (annual %),2001,1.79444275713681
South Africa,GDP per capita growth (annual %),2002,2.76087798631386
South Africa,GDP per capita growth (annual %),2003,2.00199371336308
South Africa,GDP per capita growth (annual %),2004,3.58123021106213
South Africa,GDP per capita growth (annual %),2005,4.28677153057231
South Africa,GDP per capita growth (annual %),2006,4.5911021010921
South Africa,GDP per capita growth (annual %),2007,4.29764521048401
South Africa,GDP per capita growth (annual %),2008,2.02840468771709
South Africa,GDP per capita growth (annual %),2009,-2.70215597172341
South Africa,GDP per capita growth (annual %),2010,1.81773569736623
South Africa,GDP per capita growth (annual %),2011,1.87331822630892
South Africa,GDP per capita growth (annual %),2012,1.04422917046858
South Africa,GDP per capita growth (annual %),2013,1.09946173503064
South Africa,GDP per capita growth (annual %),2014,-0.172220609328434
South Africa,GDP per capita growth (annual %),2015,-0.75792811406113
South Africa,GDP per capita growth (annual %),2016,-0.309171167254917
South Africa,GDP per capita growth (annual %),2017,0.766941612663501
South Africa,GDP per capita growth (annual %),2018,0.319770420910046
South Africa,GDP per capita growth (annual %),2019,-1.03013294248167
South Africa,GDP per capita growth (annual %),2020,-7.10658878154325
South Africa,GDP per capita growth (annual %),2021,3.66236830303251
South Africa,GDP per capita growth (annual %),2022,1.05687467702997
