Country or Area,Item,Year,Value
South Africa,GDP per person employed (constant 2021 PPP $),1991,34569.9706369987
South Africa,GDP per person employed (constant 2021 PPP $),1992,33569.9245817011
South Africa,GDP per person employed (constant 2021 PPP $),1993,33510.0823824073
South Africa,GDP per person employed (constant 2021 PPP $),1994,33924.9645285843
South Africa,GDP per person employed (constant 2021 PPP $),1995,34213.9257176791
South Africa,GDP per person employed (constant 2021 PPP $),1996,34939.7769392877
South Africa,GDP per person employed (constant 2021 PPP $),1997,35160.3398616375
South Africa,GDP per person employed (constant 2021 PPP $),1998,34692.1398618431
South Africa,GDP per person employed (constant 2021 PPP $),1999,34878.8233188514
South Africa,GDP per person employed (constant 2021 PPP $),2000,35573.5293182823
South Africa,GDP per person employed (constant 2021 PPP $),2001,35709.6737069768
South Africa,GDP per person employed (constant 2021 PPP $),2002,36238.870917658
South Africa,GDP per person employed (constant 2021 PPP $),2003,36637.7297977665
South Africa,GDP per person employed (constant 2021 PPP $),2004,37551.5843329999
South Africa,GDP per person employed (constant 2021 PPP $),2005,38829.39524218
South Africa,GDP per person employed (constant 2021 PPP $),2006,40266.3143768043
South Africa,GDP per person employed (constant 2021 PPP $),2007,41752.2471888214
South Africa,GDP per person employed (constant 2021 PPP $),2008,42534.5925450718
South Africa,GDP per person employed (constant 2021 PPP $),2009,42909.5980070824
South Africa,GDP per person employed (constant 2021 PPP $),2010,48262.607921435
South Africa,GDP per person employed (constant 2021 PPP $),2011,46214.8565586726
South Africa,GDP per person employed (constant 2021 PPP $),2012,47033.190769357
South Africa,GDP per person employed (constant 2021 PPP $),2013,47478.9664399616
South Africa,GDP per person employed (constant 2021 PPP $),2014,47837.5968852852
South Africa,GDP per person employed (constant 2021 PPP $),2015,46236.9944280509
South Africa,GDP per person employed (constant 2021 PPP $),2016,46623.7966004402
South Africa,GDP per person employed (constant 2021 PPP $),2017,46458.592025682
South Africa,GDP per person employed (constant 2021 PPP $),2018,47334.8501974061
South Africa,GDP per person employed (constant 2021 PPP $),2019,47556.3208112471
South Africa,GDP per person employed (constant 2021 PPP $),2020,46358.079154216
South Africa,GDP per person employed (constant 2021 PPP $),2021,50027.2092129803
South Africa,GDP per person employed (constant 2021 PPP $),2022,49471.7838269882
