Country or Area,Item,Year,Value
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1990,2.85858379830039
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1991,2.80121211969398
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1992,3.0062201349723
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1993,2.90699935651462
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1994,2.96325594758566
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1995,2.95725659233809
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1996,3.07362642543321
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1997,3.12349181655094
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1998,3.19531828993456
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),1999,3.27849146870477
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2000,3.5007333504901
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2001,3.57428499714319
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2002,3.83691194236383
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2003,3.76699466329684
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2004,3.70416433386123
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2005,4.02841598080963
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2006,4.41736849129403
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2007,4.46390643710134
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2008,4.35841254815691
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2009,4.40563543680237
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2010,4.66513713727784
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2011,4.93019461333817
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2012,5.01398383208162
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2013,5.23134675095563
South Africa,GDP per unit of energy use (PPP $ per kg of oil equivalent),2014,5.05147035389272
