Country or Area,Item,Year,Value
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1985,58.1543794680459
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1986,59.1535515278789
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1987,60.7560417196642
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1988,61.5932280826438
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1989,60.874750789534
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1990,64.2372449996474
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1991,64.6571489794825
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1992,65.0812056661441
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1993,63.8161363367457
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1994,64.46554323184
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1995,64.7003495290576
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1996,64.5397298277704
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1997,65.3011286472032
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1998,65.5752955259532
South Africa,Households and NPISHs final consumption expenditure (% of GDP),1999,66.0470513995
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2000,65.6238481614363
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2001,65.3133283719524
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2002,62.6816461165926
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2003,61.9030299956032
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2004,63.6700046941321
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2005,63.5931296930533
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2006,63.565103424366
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2007,63.4679983546563
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2008,63.0372759821102
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2009,62.0050435439526
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2010,62.3674894703455
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2011,62.9327761615815
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2012,64.3015270653663
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2013,63.8663333377077
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2014,63.6963101332591
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2015,63.6811239874379
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2016,63.2810689700761
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2017,63.0089707737864
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2018,63.9686622114985
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2019,64.0928641809209
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2020,62.5197123455053
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2021,61.8193170554894
South Africa,Households and NPISHs final consumption expenditure (% of GDP),2022,63.5061698344631
