Country or Area,Item,Year,Value
South Africa,"GNI, Atlas method (current US$)",1985,76679188366.8609
South Africa,"GNI, Atlas method (current US$)",1986,72923388485.3917
South Africa,"GNI, Atlas method (current US$)",1987,82788749419.473
South Africa,"GNI, Atlas method (current US$)",1988,102267125023.366
South Africa,"GNI, Atlas method (current US$)",1989,111442799717.968
South Africa,"GNI, Atlas method (current US$)",1990,115173365121.461
South Africa,"GNI, Atlas method (current US$)",1991,123522089462.016
South Africa,"GNI, Atlas method (current US$)",1992,137269829368.039
South Africa,"GNI, Atlas method (current US$)",1993,146497904549.169
South Africa,"GNI, Atlas method (current US$)",1994,156126044874.238
South Africa,"GNI, Atlas method (current US$)",1995,166096227293.371
South Africa,"GNI, Atlas method (current US$)",1996,171034749563.026
South Africa,"GNI, Atlas method (current US$)",1997,171441001561.541
South Africa,"GNI, Atlas method (current US$)",1998,156902327515.566
South Africa,"GNI, Atlas method (current US$)",1999,154203172934.651
South Africa,"GNI, Atlas method (current US$)",2000,153695251448.064
South Africa,"GNI, Atlas method (current US$)",2001,145474784235.684
South Africa,"GNI, Atlas method (current US$)",2002,137905583466.053
South Africa,"GNI, Atlas method (current US$)",2003,153183718571.142
South Africa,"GNI, Atlas method (current US$)",2004,197709487360.847
South Africa,"GNI, Atlas method (current US$)",2005,268527827576.907
South Africa,"GNI, Atlas method (current US$)",2006,306082389745.543
South Africa,"GNI, Atlas method (current US$)",2007,325532419202.485
South Africa,"GNI, Atlas method (current US$)",2008,331752085524.026
South Africa,"GNI, Atlas method (current US$)",2009,328521148816.755
South Africa,"GNI, Atlas method (current US$)",2010,352431397159.754
South Africa,"GNI, Atlas method (current US$)",2011,403730300452.084
South Africa,"GNI, Atlas method (current US$)",2012,442087804034.653
South Africa,"GNI, Atlas method (current US$)",2013,433470554627.66
South Africa,"GNI, Atlas method (current US$)",2014,401843048334.649
South Africa,"GNI, Atlas method (current US$)",2015,365987571933.616
South Africa,"GNI, Atlas method (current US$)",2016,336464353519.207
South Africa,"GNI, Atlas method (current US$)",2017,337179873388.631
South Africa,"GNI, Atlas method (current US$)",2018,366613653755.563
South Africa,"GNI, Atlas method (current US$)",2019,391401530368.152
South Africa,"GNI, Atlas method (current US$)",2020,359560649110.448
South Africa,"GNI, Atlas method (current US$)",2021,388629999192.374
South Africa,"GNI, Atlas method (current US$)",2022,406039435260.045
