Country or Area,Item,Year,Value
South Africa,"GNI, PPP (constant 2021 international $)",1990,383948184132.862
South Africa,"GNI, PPP (constant 2021 international $)",1991,380908110020.607
South Africa,"GNI, PPP (constant 2021 international $)",1992,372397068233.06
South Africa,"GNI, PPP (constant 2021 international $)",1993,377839775865.477
South Africa,"GNI, PPP (constant 2021 international $)",1994,390670718456.97
South Africa,"GNI, PPP (constant 2021 international $)",1995,398932895241.951
South Africa,"GNI, PPP (constant 2021 international $)",1996,419820776057.047
South Africa,"GNI, PPP (constant 2021 international $)",1997,429573316853.136
South Africa,"GNI, PPP (constant 2021 international $)",1998,430010994267.159
South Africa,"GNI, PPP (constant 2021 international $)",1999,435863119270.724
South Africa,"GNI, PPP (constant 2021 international $)",2000,451437935400.092
South Africa,"GNI, PPP (constant 2021 international $)",2001,462826202802.828
South Africa,"GNI, PPP (constant 2021 international $)",2002,485505417085.649
South Africa,"GNI, PPP (constant 2021 international $)",2003,501089241103.683
South Africa,"GNI, PPP (constant 2021 international $)",2004,529999794840.396
South Africa,"GNI, PPP (constant 2021 international $)",2005,559812020570.082
South Africa,"GNI, PPP (constant 2021 international $)",2006,597877945071.886
South Africa,"GNI, PPP (constant 2021 international $)",2007,626460152435.447
South Africa,"GNI, PPP (constant 2021 international $)",2008,652042202997.313
South Africa,"GNI, PPP (constant 2021 international $)",2009,658019555315.867
South Africa,"GNI, PPP (constant 2021 international $)",2010,688301427633.078
South Africa,"GNI, PPP (constant 2021 international $)",2011,720045580543.792
South Africa,"GNI, PPP (constant 2021 international $)",2012,726903939698.968
South Africa,"GNI, PPP (constant 2021 international $)",2013,742104133634.976
South Africa,"GNI, PPP (constant 2021 international $)",2014,748230204429.159
South Africa,"GNI, PPP (constant 2021 international $)",2015,762934964488.519
South Africa,"GNI, PPP (constant 2021 international $)",2016,769364830743.605
South Africa,"GNI, PPP (constant 2021 international $)",2017,785170496098.206
South Africa,"GNI, PPP (constant 2021 international $)",2018,793549775435.849
South Africa,"GNI, PPP (constant 2021 international $)",2019,806365351629.03
South Africa,"GNI, PPP (constant 2021 international $)",2020,778641896318.326
South Africa,"GNI, PPP (constant 2021 international $)",2021,825653184141.609
South Africa,"GNI, PPP (constant 2021 international $)",2022,827711575014.501
