Country or Area,Item,Year,Value
South Africa,"GNI, PPP (current international $)",1990,251232782595.216
South Africa,"GNI, PPP (current international $)",1991,259769206822.741
South Africa,"GNI, PPP (current international $)",1992,260989209889.806
South Africa,"GNI, PPP (current international $)",1993,270992678681.204
South Africa,"GNI, PPP (current international $)",1994,286309087420.625
South Africa,"GNI, PPP (current international $)",1995,301079179796.867
South Africa,"GNI, PPP (current international $)",1996,319018919127.927
South Africa,"GNI, PPP (current international $)",1997,332958131892.656
South Africa,"GNI, PPP (current international $)",1998,337832435798.574
South Africa,"GNI, PPP (current international $)",1999,350637642854.152
South Africa,"GNI, PPP (current international $)",2000,373741836844.975
South Africa,"GNI, PPP (current international $)",2001,389801119697.223
South Africa,"GNI, PPP (current international $)",2002,413053924512.154
South Africa,"GNI, PPP (current international $)",2003,432834791125.312
South Africa,"GNI, PPP (current international $)",2004,467809549732.874
South Africa,"GNI, PPP (current international $)",2005,507809327335.713
South Africa,"GNI, PPP (current international $)",2006,552928701696.482
South Africa,"GNI, PPP (current international $)",2007,590750377588.724
South Africa,"GNI, PPP (current international $)",2008,621958344648.529
South Africa,"GNI, PPP (current international $)",2009,621510984850.456
South Africa,"GNI, PPP (current international $)",2010,648506796343.6
South Africa,"GNI, PPP (current international $)",2011,680230630915.234
South Africa,"GNI, PPP (current international $)",2012,680963469478.553
South Africa,"GNI, PPP (current international $)",2013,713352409326.522
South Africa,"GNI, PPP (current international $)",2014,724269722141.275
South Africa,"GNI, PPP (current international $)",2015,742544241132.529
South Africa,"GNI, PPP (current international $)",2016,754274960265.723
South Africa,"GNI, PPP (current international $)",2017,769863674637.034
South Africa,"GNI, PPP (current international $)",2018,760480399540.148
South Africa,"GNI, PPP (current international $)",2019,776309015614.187
South Africa,"GNI, PPP (current international $)",2020,755313451639.83
South Africa,"GNI, PPP (current international $)",2021,825653184141.609
South Africa,"GNI, PPP (current international $)",2022,899047233745.067
