Id,PageTitle,TypeName,SectionId,SectionName,TsCode,MeasureName,TheValue,ValueDate,FormatNumber,FormatDate,SectionSequence,UnitOfMeasure,PublishingAgency,PercChange,PercChangeFormat
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6631L,"   Agriculture, forestry and fishing ",174682.1767,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                         -9.71,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6631L,"   Agriculture, forestry and fishing ",233395.5227,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                         24.40,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6632L,   Mining and quarrying ,455725.1528,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          6.46,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6632L,   Mining and quarrying ,450257.1988,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                         -4.18,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6634L,   Manufacturing ,935197.9545,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                         10.72,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6634L,   Manufacturing ,924271.0933,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          5.95,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6635L,   Electricity and water ,251457.0352,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                         17.92,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6635L,   Electricity and water ,224968.0145,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                         16.15,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6636L,   Construction (contractors) ,159015.0751,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          2.26,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6636L,   Construction (contractors) ,159923.0006,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          2.27,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6638L,"   Wholesale and retail trade, catering and accommodation ",854463.4197,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          6.41,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6638L,"   Wholesale and retail trade, catering and accommodation ",898788.9521,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          2.73,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6639L,"   Transport, storage and communication ",504108.0917,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          6.59,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6639L,"   Transport, storage and communication ",498108.6213,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          3.31,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6640L,"   Finance and insurance, real estate and business services ",1520424.1238,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          7.32,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6640L,"   Finance and insurance, real estate and business services ",1489367.8112,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          4.81,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6647L,    Personal services ,1031227.3604,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          4.33,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6647L,    Personal services ,1042002.9701,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          4.02,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6643L,   General government services ,543892.7429,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          3.25,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6643L,   General government services ,546073.7638,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                         -1.78,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6645L,   Total value added at basic prices ,6430193.1328,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          6.41,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6645L,   Total value added at basic prices ,6467156.9483,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          4.05,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6006L,"   GDP at market prices (current, sa) ",7146888.1328,2023-12-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          6.10,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG1,"GDP at current prices, by production approach (seasonally adjusted and annualised) ",NRI6006L,"   GDP at market prices (current, sa) ",7192380.9483,2024-03-31T00:00:00,0,Qq/yy,1,R Million,SARB,                          3.90,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6631D,"    Agriculture, forestry and fishing ",111379.2342,2023-12-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                        -22.45,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6631D,"    Agriculture, forestry and fishing ",126411.9733,2024-03-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                         -7.69,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6632D,    Mining and quarrying ,206614.1757,2023-12-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                          3.96,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6632D,    Mining and quarrying ,201868.3488,2024-03-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                          0.07,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6634D,    Manufacturing ,525039.4224,2023-12-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                          2.23,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6634D,    Manufacturing ,517439.4224,2024-03-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                         -0.23,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6635D,    Electricity and water ,98323.8707,2023-12-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                          1.02,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6635D,    Electricity and water ,97913.8673,2024-03-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                          1.49,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6636D,    Construction (contractors) ,105934.4712,2023-12-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                         -4.08,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6636D,    Construction (contractors) ,102694.2481,2024-03-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                         -7.89,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6638D,"    Wholesale and retail trade, catering and accommodation ",519437.1505,2023-12-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                         -2.71,0.0
IMFRS,Economic and Financial Data for South Africa,SDDS Real Sector,IMFRSG2,"GDP at constant 2015 prices, by production approach (seasonally adjusted and annualised) ",NRI6638D,"    Wholesale and retail trade, catering and accommodation ",520160.8683,2024-03-31T00:00:00,0,Qq/yy,2,R Million,STATS SA,                         -3.51,0.0
