Country or Area,Item,Year,Value
South Africa,"Current health expenditure per capita, PPP (current international $)",2000,598.242577722576
South Africa,"Current health expenditure per capita, PPP (current international $)",2001,604.590585864595
South Africa,"Current health expenditure per capita, PPP (current international $)",2002,591.500657539085
South Africa,"Current health expenditure per capita, PPP (current international $)",2003,648.716787721307
South Africa,"Current health expenditure per capita, PPP (current international $)",2004,679.93518614907
South Africa,"Current health expenditure per capita, PPP (current international $)",2005,723.280682717202
South Africa,"Current health expenditure per capita, PPP (current international $)",2006,781.460297599302
South Africa,"Current health expenditure per capita, PPP (current international $)",2007,840.553326614903
South Africa,"Current health expenditure per capita, PPP (current international $)",2008,904.837213653864
South Africa,"Current health expenditure per capita, PPP (current international $)",2009,948.140144676885
South Africa,"Current health expenditure per capita, PPP (current international $)",2010,995.389318380588
South Africa,"Current health expenditure per capita, PPP (current international $)",2011,1055.12835914252
South Africa,"Current health expenditure per capita, PPP (current international $)",2012,1051.60593717829
South Africa,"Current health expenditure per capita, PPP (current international $)",2013,1098.78428990112
South Africa,"Current health expenditure per capita, PPP (current international $)",2014,1067.04487348173
South Africa,"Current health expenditure per capita, PPP (current international $)",2015,1093.74465696005
South Africa,"Current health expenditure per capita, PPP (current international $)",2016,1106.59452129185
South Africa,"Current health expenditure per capita, PPP (current international $)",2017,1112.84356887396
South Africa,"Current health expenditure per capita, PPP (current international $)",2018,1158.59853236421
South Africa,"Current health expenditure per capita, PPP (current international $)",2019,1190.19975327386
South Africa,"Current health expenditure per capita, PPP (current international $)",2020,1158.82360291231
South Africa,"Current health expenditure per capita, PPP (current international $)",2021,1209.89111444347
