Country or Area,Item,Year,Value
South Africa,Current health expenditure per capita (current US$),2000,237.82832336
South Africa,Current health expenditure per capita (current US$),2001,204.25814819
South Africa,Current health expenditure per capita (current US$),2002,180.86155701
South Africa,Current health expenditure per capita (current US$),2003,288.37631226
South Africa,Current health expenditure per capita (current US$),2004,365.53488159
South Africa,Current health expenditure per capita (current US$),2005,404.39968872
South Africa,Current health expenditure per capita (current US$),2006,422.18884277
South Africa,Current health expenditure per capita (current US$),2007,460.02288818
South Africa,Current health expenditure per capita (current US$),2008,446.90435791
South Africa,Current health expenditure per capita (current US$),2009,492.94265747
South Africa,Current health expenditure per capita (current US$),2010,628.12860107
South Africa,Current health expenditure per capita (current US$),2011,694.10058594
South Africa,Current health expenditure per capita (current US$),2012,654.25469971
South Africa,Current health expenditure per capita (current US$),2013,602.6763916
South Africa,Current health expenditure per capita (current US$),2014,547.83441162
South Africa,Current health expenditure per capita (current US$),2015,499.36334229
South Africa,Current health expenditure per capita (current US$),2016,463.34463501
South Africa,Current health expenditure per capita (current US$),2017,536.77722168
South Africa,Current health expenditure per capita (current US$),2018,570.09777832
South Africa,Current health expenditure per capita (current US$),2019,551.4352417
South Africa,Current health expenditure per capita (current US$),2020,492.20724487
South Africa,Current health expenditure per capita (current US$),2021,583.67108154
