Country or Area,Item,Year,Value
South Africa,Current health expenditure (% of GDP),2000,7.3366189
South Africa,Current health expenditure (% of GDP),2001,7.12327909
South Africa,Current health expenditure (% of GDP),2002,6.67774487
South Africa,Current health expenditure (% of GDP),2003,7.04098177
South Africa,Current health expenditure (% of GDP),2004,6.938416
South Africa,Current health expenditure (% of GDP),2005,6.86216164
South Africa,Current health expenditure (% of GDP),2006,6.87650871
South Africa,Current health expenditure (% of GDP),2007,6.90510845
South Africa,Current health expenditure (% of GDP),2008,7.14832258
South Africa,Current health expenditure (% of GDP),2009,7.64941454
South Africa,Current health expenditure (% of GDP),2010,7.79358244
South Africa,Current health expenditure (% of GDP),2011,7.94434404
South Africa,Current health expenditure (% of GDP),2012,8.00428867
South Africa,Current health expenditure (% of GDP),2013,8.10322285
South Africa,Current health expenditure (% of GDP),2014,7.87136555
South Africa,Current health expenditure (% of GDP),2015,8.05304241
South Africa,Current health expenditure (% of GDP),2016,8.07959366
South Africa,Current health expenditure (% of GDP),2017,7.97711229
South Africa,Current health expenditure (% of GDP),2018,8.08820343
South Africa,Current health expenditure (% of GDP),2019,8.24418926
South Africa,Current health expenditure (% of GDP),2020,8.57258797
South Africa,Current health expenditure (% of GDP),2021,8.27309132
