Country or Area,Item,Year,Value
South Africa,"Death rate, crude (per 1,000 people)",1985,8.715
South Africa,"Death rate, crude (per 1,000 people)",1986,8.517
South Africa,"Death rate, crude (per 1,000 people)",1987,8.439
South Africa,"Death rate, crude (per 1,000 people)",1988,8.235
South Africa,"Death rate, crude (per 1,000 people)",1989,8.162
South Africa,"Death rate, crude (per 1,000 people)",1990,8.031
South Africa,"Death rate, crude (per 1,000 people)",1991,8.017
South Africa,"Death rate, crude (per 1,000 people)",1992,7.944
South Africa,"Death rate, crude (per 1,000 people)",1993,8.052
South Africa,"Death rate, crude (per 1,000 people)",1994,8.231
South Africa,"Death rate, crude (per 1,000 people)",1995,8.382
South Africa,"Death rate, crude (per 1,000 people)",1996,8.691
South Africa,"Death rate, crude (per 1,000 people)",1997,8.949
South Africa,"Death rate, crude (per 1,000 people)",1998,9.335
South Africa,"Death rate, crude (per 1,000 people)",1999,9.738
South Africa,"Death rate, crude (per 1,000 people)",2000,10.174
South Africa,"Death rate, crude (per 1,000 people)",2001,10.871
South Africa,"Death rate, crude (per 1,000 people)",2002,11.784
South Africa,"Death rate, crude (per 1,000 people)",2003,12.657
South Africa,"Death rate, crude (per 1,000 people)",2004,12.947
South Africa,"Death rate, crude (per 1,000 people)",2005,13.177
South Africa,"Death rate, crude (per 1,000 people)",2006,13.234
South Africa,"Death rate, crude (per 1,000 people)",2007,12.973
South Africa,"Death rate, crude (per 1,000 people)",2008,12.543
South Africa,"Death rate, crude (per 1,000 people)",2009,11.947
South Africa,"Death rate, crude (per 1,000 people)",2010,11.257
South Africa,"Death rate, crude (per 1,000 people)",2011,10.592
South Africa,"Death rate, crude (per 1,000 people)",2012,9.993
South Africa,"Death rate, crude (per 1,000 people)",2013,9.77
South Africa,"Death rate, crude (per 1,000 people)",2014,9.432
South Africa,"Death rate, crude (per 1,000 people)",2015,9.259
South Africa,"Death rate, crude (per 1,000 people)",2016,8.924
South Africa,"Death rate, crude (per 1,000 people)",2017,8.802
South Africa,"Death rate, crude (per 1,000 people)",2018,8.765
South Africa,"Death rate, crude (per 1,000 people)",2019,8.614
South Africa,"Death rate, crude (per 1,000 people)",2020,9.425
South Africa,"Death rate, crude (per 1,000 people)",2021,11.432
South Africa,"Death rate, crude (per 1,000 people)",2022,12.032
