Country or Area,Item,Year,Value
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1990,5.35
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1991,8.18
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1992,11.79
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1993,15.9
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1994,19.98
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1995,23.48
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1996,26.08
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1997,27.7
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1998,28.41
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1999,28.41
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2000,27.8
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2001,26.67
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2002,25.32
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2003,23.9
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2004,22.48
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2005,21.17
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2006,20.1
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2007,19.19
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2008,18.48
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2009,17.74
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2010,16.91
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2011,16.05
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2012,15.04
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2013,14.15
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2014,13.19
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2015,12.35
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2016,11.24
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2017,9.89
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2018,8.92
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2019,7.93
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2020,7.4
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2021,6.73
South Africa,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",2022,6.25
