Country or Area,Item,Year,Value
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1990,3.26
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1991,4.62
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1992,6.14
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1993,7.74
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1994,9.26
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1995,10.58
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1996,11.6
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1997,12.28
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1998,12.6
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",1999,12.73
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2000,12.62
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2001,12.36
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2002,12.04
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2003,11.79
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2004,11.59
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2005,11.25
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2006,10.57
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2007,10.1
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2008,9.61
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2009,9.02
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2010,8.44
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2011,8.05
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2012,7.48
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2013,7.0
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2014,6.5
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2015,5.94
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2016,5.39
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2017,4.78
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2018,4.31
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2019,3.88
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2020,3.67
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2021,3.39
South Africa,"Incidence of HIV, all (per 1,000 uninfected population)",2022,3.15
