Country or Area,Item,Year,Value
South Africa,"Life expectancy at birth, female (years)",1985,65.405
South Africa,"Life expectancy at birth, female (years)",1986,65.942
South Africa,"Life expectancy at birth, female (years)",1987,65.968
South Africa,"Life expectancy at birth, female (years)",1988,66.475
South Africa,"Life expectancy at birth, female (years)",1989,66.356
South Africa,"Life expectancy at birth, female (years)",1990,66.712
South Africa,"Life expectancy at birth, female (years)",1991,66.945
South Africa,"Life expectancy at birth, female (years)",1992,67.067
South Africa,"Life expectancy at birth, female (years)",1993,66.832
South Africa,"Life expectancy at birth, female (years)",1994,66.189
South Africa,"Life expectancy at birth, female (years)",1995,65.749
South Africa,"Life expectancy at birth, female (years)",1996,64.721
South Africa,"Life expectancy at birth, female (years)",1997,63.828
South Africa,"Life expectancy at birth, female (years)",1998,62.883
South Africa,"Life expectancy at birth, female (years)",1999,62.008
South Africa,"Life expectancy at birth, female (years)",2000,61.049
South Africa,"Life expectancy at birth, female (years)",2001,59.47
South Africa,"Life expectancy at birth, female (years)",2002,57.668
South Africa,"Life expectancy at birth, female (years)",2003,56.232
South Africa,"Life expectancy at birth, female (years)",2004,55.721
South Africa,"Life expectancy at birth, female (years)",2005,55.431
South Africa,"Life expectancy at birth, female (years)",2006,55.892
South Africa,"Life expectancy at birth, female (years)",2007,56.852
South Africa,"Life expectancy at birth, female (years)",2008,58.111
South Africa,"Life expectancy at birth, female (years)",2009,59.722
South Africa,"Life expectancy at birth, female (years)",2010,61.266
South Africa,"Life expectancy at birth, female (years)",2011,63.111
South Africa,"Life expectancy at birth, female (years)",2012,64.449
South Africa,"Life expectancy at birth, female (years)",2013,65.267
South Africa,"Life expectancy at birth, female (years)",2014,66.259
South Africa,"Life expectancy at birth, female (years)",2015,66.781
South Africa,"Life expectancy at birth, female (years)",2016,67.794
South Africa,"Life expectancy at birth, female (years)",2017,68.43
South Africa,"Life expectancy at birth, female (years)",2018,68.74
South Africa,"Life expectancy at birth, female (years)",2019,69.107
South Africa,"Life expectancy at birth, female (years)",2020,67.964
South Africa,"Life expectancy at birth, female (years)",2021,64.999
South Africa,"Life expectancy at birth, female (years)",2022,64.181
