Country or Area,Item,Year,Value
South Africa,"Life expectancy at birth, male (years)",1985,59.451
South Africa,"Life expectancy at birth, male (years)",1986,59.796
South Africa,"Life expectancy at birth, male (years)",1987,60.011
South Africa,"Life expectancy at birth, male (years)",1988,60.115
South Africa,"Life expectancy at birth, male (years)",1989,60.143
South Africa,"Life expectancy at birth, male (years)",1990,59.93
South Africa,"Life expectancy at birth, male (years)",1991,59.506
South Africa,"Life expectancy at birth, male (years)",1992,59.534
South Africa,"Life expectancy at birth, male (years)",1993,59.103
South Africa,"Life expectancy at birth, male (years)",1994,58.777
South Africa,"Life expectancy at birth, male (years)",1995,58.441
South Africa,"Life expectancy at birth, male (years)",1996,57.762
South Africa,"Life expectancy at birth, male (years)",1997,57.276
South Africa,"Life expectancy at birth, male (years)",1998,56.624
South Africa,"Life expectancy at birth, male (years)",1999,55.991
South Africa,"Life expectancy at birth, male (years)",2000,55.397
South Africa,"Life expectancy at birth, male (years)",2001,54.565
South Africa,"Life expectancy at birth, male (years)",2002,53.191
South Africa,"Life expectancy at birth, male (years)",2003,51.97
South Africa,"Life expectancy at birth, male (years)",2004,51.891
South Africa,"Life expectancy at birth, male (years)",2005,52.064
South Africa,"Life expectancy at birth, male (years)",2006,52.209
South Africa,"Life expectancy at birth, male (years)",2007,52.691
South Africa,"Life expectancy at birth, male (years)",2008,53.488
South Africa,"Life expectancy at birth, male (years)",2009,54.728
South Africa,"Life expectancy at birth, male (years)",2010,56.067
South Africa,"Life expectancy at birth, male (years)",2011,57.731
South Africa,"Life expectancy at birth, male (years)",2012,58.775
South Africa,"Life expectancy at birth, male (years)",2013,59.352
South Africa,"Life expectancy at birth, male (years)",2014,60.062
South Africa,"Life expectancy at birth, male (years)",2015,60.709
South Africa,"Life expectancy at birth, male (years)",2016,61.307
South Africa,"Life expectancy at birth, male (years)",2017,61.954
South Africa,"Life expectancy at birth, male (years)",2018,62.203
South Africa,"Life expectancy at birth, male (years)",2019,62.834
South Africa,"Life expectancy at birth, male (years)",2020,62.178
South Africa,"Life expectancy at birth, male (years)",2021,59.458
South Africa,"Life expectancy at birth, male (years)",2022,58.597
