Country or Area,Item,Year,Value
South Africa,"Life expectancy at birth, total (years)",1985,62.38
South Africa,"Life expectancy at birth, total (years)",1986,62.912
South Africa,"Life expectancy at birth, total (years)",1987,63.041
South Africa,"Life expectancy at birth, total (years)",1988,63.345
South Africa,"Life expectancy at birth, total (years)",1989,63.31
South Africa,"Life expectancy at birth, total (years)",1990,63.375
South Africa,"Life expectancy at birth, total (years)",1991,63.265
South Africa,"Life expectancy at birth, total (years)",1992,63.341
South Africa,"Life expectancy at birth, total (years)",1993,63.045
South Africa,"Life expectancy at birth, total (years)",1994,62.612
South Africa,"Life expectancy at birth, total (years)",1995,62.262
South Africa,"Life expectancy at birth, total (years)",1996,61.459
South Africa,"Life expectancy at birth, total (years)",1997,60.805
South Africa,"Life expectancy at birth, total (years)",1998,60.001
South Africa,"Life expectancy at birth, total (years)",1999,59.241
South Africa,"Life expectancy at birth, total (years)",2000,58.47
South Africa,"Life expectancy at birth, total (years)",2001,57.261
South Africa,"Life expectancy at birth, total (years)",2002,55.666
South Africa,"Life expectancy at birth, total (years)",2003,54.331
South Africa,"Life expectancy at birth, total (years)",2004,54.043
South Africa,"Life expectancy at birth, total (years)",2005,53.98
South Africa,"Life expectancy at birth, total (years)",2006,54.278
South Africa,"Life expectancy at birth, total (years)",2007,54.992
South Africa,"Life expectancy at birth, total (years)",2008,56.022
South Africa,"Life expectancy at birth, total (years)",2009,57.447
South Africa,"Life expectancy at birth, total (years)",2010,58.899
South Africa,"Life expectancy at birth, total (years)",2011,60.651
South Africa,"Life expectancy at birth, total (years)",2012,61.846
South Africa,"Life expectancy at birth, total (years)",2013,62.533
South Africa,"Life expectancy at birth, total (years)",2014,63.38
South Africa,"Life expectancy at birth, total (years)",2015,63.95
South Africa,"Life expectancy at birth, total (years)",2016,64.747
South Africa,"Life expectancy at birth, total (years)",2017,65.402
South Africa,"Life expectancy at birth, total (years)",2018,65.674
South Africa,"Life expectancy at birth, total (years)",2019,66.175
South Africa,"Life expectancy at birth, total (years)",2020,65.252
South Africa,"Life expectancy at birth, total (years)",2021,62.341
South Africa,"Life expectancy at birth, total (years)",2022,61.48
