Country or Area,Item,Year,Value
South Africa,Low-birthweight babies (% of births),2000,17.17677181
South Africa,Low-birthweight babies (% of births),2001,17.17616245
South Africa,Low-birthweight babies (% of births),2002,17.15690053
South Africa,Low-birthweight babies (% of births),2003,17.11680143
South Africa,Low-birthweight babies (% of births),2004,17.05776765
South Africa,Low-birthweight babies (% of births),2005,16.97958025
South Africa,Low-birthweight babies (% of births),2006,16.91046577
South Africa,Low-birthweight babies (% of births),2007,16.8488708
South Africa,Low-birthweight babies (% of births),2008,16.78825359
South Africa,Low-birthweight babies (% of births),2009,16.75032076
South Africa,Low-birthweight babies (% of births),2010,16.70265985
South Africa,Low-birthweight babies (% of births),2011,16.6618405
South Africa,Low-birthweight babies (% of births),2012,16.63272864
South Africa,Low-birthweight babies (% of births),2013,16.6097749
South Africa,Low-birthweight babies (% of births),2014,16.60283462
South Africa,Low-birthweight babies (% of births),2015,16.60022472
South Africa,Low-birthweight babies (% of births),2016,16.61643655
South Africa,Low-birthweight babies (% of births),2017,16.62769864
South Africa,Low-birthweight babies (% of births),2018,16.63319905
South Africa,Low-birthweight babies (% of births),2019,16.63758315
South Africa,Low-birthweight babies (% of births),2020,16.63838895
