Country or Area,Item,Year,Value
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2000,27.6
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2001,27.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2002,27.7
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2003,28.0
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2004,27.9
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2005,27.9
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2006,28.0
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2007,27.7
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2008,27.8
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2009,27.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2010,26.9
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2011,25.8
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2012,24.6
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2013,24.2
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2014,24.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2015,24.7
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2016,24.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2017,23.7
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2018,21.4
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",2019,20.4
