Country or Area,Item,Year,Value
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2000,38.0
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2001,37.4
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2002,37.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2003,37.6
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2004,37.2
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2005,37.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2006,37.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2007,37.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2008,37.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2009,37.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2010,36.4
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2011,35.0
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2012,34.2
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2013,33.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2014,33.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2015,33.6
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2016,33.1
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2017,32.7
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2018,30.2
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",2019,28.5
