Country or Area,Item,Year,Value
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2000,32.6
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2001,32.2
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2002,32.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2003,32.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2004,32.2
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2005,32.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2006,32.4
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2007,32.2
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2008,32.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2009,32.0
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2010,31.3
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2011,30.0
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2012,29.1
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2013,28.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2014,28.7
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2015,28.8
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2016,28.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2017,27.8
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2018,25.5
South Africa,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",2019,24.1
