Country or Area,Item,Year,Value
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1985,212.607
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1986,206.772
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1987,211.032
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1988,205.76
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1989,211.928
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1990,206.615
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1991,205.508
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1992,204.118
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1993,208.24
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1994,221.265
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1995,228.505
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1996,255.787
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1997,277.359
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1998,298.727
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",1999,318.509
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2000,342.423
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2001,370.311
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2002,407.094
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2003,436.005
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2004,453.713
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2005,460.982
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2006,459.37
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2007,443.684
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2008,424.313
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2009,402.427
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2010,374.173
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2011,346.302
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2012,320.819
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2013,304.887
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2014,286.397
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2015,277.004
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2016,264.877
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2017,255.495
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2018,246.989
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2019,236.101
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2020,256.616
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2021,294.817
South Africa,"Mortality rate, adult, female (per 1,000 female adults)",2022,307.784
