Country or Area,Item,Year,Value
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1985,329.022
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1986,326.368
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1987,327.494
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1988,331.261
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1989,336.404
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1990,346.736
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1991,361.68
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1992,362.518
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1993,374.247
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1994,380.118
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1995,384.63
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1996,408.419
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1997,420.179
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1998,434.464
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",1999,448.28
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2000,472.925
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2001,489.674
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2002,514.914
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2003,539.331
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2004,543.768
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2005,544.067
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2006,545.462
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2007,539.73
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2008,526.715
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2009,509.691
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2010,482.722
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2011,457.707
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2012,432.358
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2013,419.532
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2014,403.001
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2015,392.511
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2016,381.398
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2017,369.708
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2018,360.378
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2019,341.836
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2020,353.927
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2021,399.441
South Africa,"Mortality rate, adult, male (per 1,000 male adults)",2022,416.314
